Year,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2023,KG21,,,PER_100000_LIVE_BIRTHS,KG21,140
2024,KG21,,,PER_100000_LIVE_BIRTHS,KG21,86
2015,,,U,NUMBER,,14
2016,,,U,NUMBER,,8
2017,,,U,NUMBER,,10
2018,,,U,NUMBER,,16
2019,,,U,NUMBER,,13
2020,,,U,NUMBER,,17
2021,,,U,NUMBER,,10
2022,,,U,NUMBER,,12
2023,,,U,NUMBER,,8
2024,,,U,NUMBER,,10
2015,,,R,NUMBER,,49
2016,,,R,NUMBER,,40
2017,,,R,NUMBER,,38
2018,,,R,NUMBER,,35
2019,,,R,NUMBER,,30
2020,,,R,NUMBER,,50
2021,,,R,NUMBER,,47
2022,,,R,NUMBER,,29
2023,,,R,NUMBER,,30
2024,,,R,NUMBER,,26
2015,,Y15T19,,NUMBER,,5
2016,,Y15T19,,NUMBER,,3
2017,,Y15T19,,NUMBER,,1
2018,,Y15T19,,NUMBER,,5
2019,,Y15T19,,NUMBER,,1
2020,,Y15T19,,NUMBER,,2
2021,,Y15T19,,NUMBER,,6
2023,,Y15T19,,NUMBER,,1
2024,,Y15T19,,NUMBER,,1
2015,,Y20T24,,NUMBER,,11
2016,,Y20T24,,NUMBER,,8
2017,,Y20T24,,NUMBER,,6
2018,,Y20T24,,NUMBER,,16
2019,,Y20T24,,NUMBER,,10
2020,,Y20T24,,NUMBER,,13
2021,,Y20T24,,NUMBER,,12
2022,,Y20T24,,NUMBER,,12
2023,,Y20T24,,NUMBER,,7
2024,,Y20T24,,NUMBER,,11
2015,,Y25T29,,NUMBER,,19
2016,,Y25T29,,NUMBER,,11
2017,,Y25T29,,NUMBER,,13
2018,,Y25T29,,NUMBER,,7
2019,,Y25T29,,NUMBER,,9
2020,,Y25T29,,NUMBER,,16
2021,,Y25T29,,NUMBER,,11
2022,,Y25T29,,NUMBER,,6
2023,,Y25T29,,NUMBER,,9
2024,,Y25T29,,NUMBER,,3
2015,,Y30T34,,NUMBER,,12
2016,,Y30T34,,NUMBER,,11
2017,,Y30T34,,NUMBER,,16
2018,,Y30T34,,NUMBER,,11
2019,,Y30T34,,NUMBER,,16
2020,,Y30T34,,NUMBER,,9
2021,,Y30T34,,NUMBER,,15
2022,,Y30T34,,NUMBER,,18
2023,,Y30T34,,NUMBER,,10
2024,,Y30T34,,NUMBER,,7
2015,,Y35T39,,NUMBER,,12
2016,,Y35T39,,NUMBER,,13
2017,,Y35T39,,NUMBER,,10
2018,,Y35T39,,NUMBER,,9
2019,,Y35T39,,NUMBER,,4
2020,,Y35T39,,NUMBER,,16
2021,,Y35T39,,NUMBER,,6
2022,,Y35T39,,NUMBER,,4
2023,,Y35T39,,NUMBER,,7
2024,,Y35T39,,NUMBER,,10
2015,,Y40T44,,NUMBER,,4
2016,,Y40T44,,NUMBER,,1
2017,,Y40T44,,NUMBER,,2
2018,,Y40T44,,NUMBER,,3
2019,,Y40T44,,NUMBER,,3
2020,,Y40T44,,NUMBER,,10
2021,,Y40T44,,NUMBER,,7
2022,,Y40T44,,NUMBER,,1
2023,,Y40T44,,NUMBER,,4
2024,,Y40T44,,NUMBER,,4
2016,,Y45T49,,NUMBER,,1
2020,,Y45T49,,NUMBER,,1
