Year,COMPOSITE_BREAKDOWN,Value
2000,_L_ASS_LOAN,36000.0
2002,_L_ASS_LOAN,15000.0
2009,_L_ASS_LOAN,7150.0
2011,_L_ASS_LOAN,7200.0
2013,_L_ASS_LOAN,1950.0
2014,_L_ASS_LOAN,10400.0
2016,_L_ASS_LOAN,46950.0
2019,_L_ASS_LOAN,50000.0
2020,_L_ASS_LOAN,23780.0
2021,_L_ASS_LOAN,44660.0
2022,_L_ASS_LOAN,25000.0
2023,_L_ASS_LOAN,13010.0
2005,_L_ASS_GRANT,7200.0
2008,_L_ASS_GRANT,8700.0
2009,_L_ASS_GRANT,6500.0
2011,_L_ASS_GRANT,13860.0
2013,_L_ASS_GRANT,7350.0
2014,_L_ASS_GRANT,11185.0
2015,_L_ASS_GRANT,5772.3
2016,_L_ASS_GRANT,12402.5
2020,_L_ASS_GRANT,38240.0
2021,_L_ASS_GRANT,7950.0
2022,_L_ASS_GRANT,23000.0
2023,_L_ASS_GRANT,16390.0
2009,_L_ASS_LOAN_GRANT,10000.0
2012,_L_ASS_LOAN_GRANT,7000.0
2014,_L_ASS_LOAN_GRANT,4890.0
2015,_L_ASS_LOAN_GRANT,9100.0
2016,_L_ASS_LOAN_GRANT,30100.0
2017,_L_ASS_LOAN_GRANT,59930.0
2018,_L_ASS_LOAN_GRANT,48020.0
2019,_L_ASS_LOAN_GRANT,24887.5
2020,_L_ASS_LOAN_GRANT,62020.0
2021,_L_ASS_LOAN_GRANT,52610.0
2022,_L_ASS_LOAN_GRANT,48000.0
2023,_L_ASS_LOAN_GRANT,29400.0
