Year,Units,Value
2014,Million of cubic metres per annum,2029.8
2015,Million of cubic metres per annum,2092.3
2016,Million of cubic metres per annum,1841.6
2017,Million of cubic metres per annum,2128.3
2018,Million of cubic metres per annum,2085.2
2014,Percent,26.5
2015,Percent,27.6
2016,Percent,25.1
2017,Percent,27.8
2018,Percent,26.9
