Year,URBANISATION,Value
2015,,3.19
2016,,3.06
2017,,2.95
2018,,3.28
2019,,3.33
2020,,3.05
2021,,2.89
2022,,2.81
2023,,2.71
2015,U,2.8
2016,U,2.76
2017,U,2.84
2018,U,3.36
2019,U,3.63
2020,U,3.36
2021,U,3.57
2022,U,2.93
2023,U,1.91
2015,R,3.44
2016,R,3.26
2017,R,3.05
2018,R,3.28
2019,R,3.22
2020,R,2.92
2021,R,2.58
2022,R,2.73
2023,R,3.23
