Year,Территория,GeoCode,Value
2007,,,19.5
2008,,,18.6
2009,,,18.6
2010,,,18.5
2011,,,19.0
2012,,,18.5
2013,,,17.9
2014,,,17.3
2015,,,17.1
2016,,,16.6
2017,,,16.8
2018,,,16.6
2019,,,17.1
2020,,,17.7
2021,,,18.0
2022,,,17.700522
2007,Баткенская область,KG05,2.109664
2008,Баткенская область,KG05,1.934128
2009,Баткенская область,KG05,1.92383
2010,Баткенская область,KG05,1.874444
2011,Баткенская область,KG05,1.930035
2012,Баткенская область,KG05,1.845624
2013,Баткенская область,KG05,1.795079
2014,Баткенская область,KG05,1.762407
2015,Баткенская область,KG05,1.659097
2016,Баткенская область,KG05,1.495586
2017,Баткенская область,KG05,1.484306
2018,Баткенская область,KG05,1.525503
2019,Баткенская область,KG05,1.6
2020,Баткенская область,KG05,1.700698
2021,Баткенская область,KG05,1.748027
2022,Баткенская область,KG05,1.76102
2007,Джалал-Абадская область,KG03,4.616846
2008,Джалал-Абадская область,KG03,4.193013
2009,Джалал-Абадская область,KG03,4.11681
2010,Джалал-Абадская область,KG03,4.091247
2011,Джалал-Абадская область,KG03,4.27976
2012,Джалал-Абадская область,KG03,4.13553
2013,Джалал-Абадская область,KG03,4.101223
2014,Джалал-Абадская область,KG03,3.951307
2015,Джалал-Абадская область,KG03,3.864138
2016,Джалал-Абадская область,KG03,3.746523
2017,Джалал-Абадская область,KG03,3.792716
2018,Джалал-Абадская область,KG03,3.804116
2019,Джалал-Абадская область,KG03,3.9
2020,Джалал-Абадская область,KG03,4.079253
2021,Джалал-Абадская область,KG03,4.11126
2022,Джалал-Абадская область,KG03,3.95893
2007,Иссык-Кульская область,KG02,1.504927
2008,Иссык-Кульская область,KG02,1.39314
2009,Иссык-Кульская область,KG02,1.390619
2010,Иссык-Кульская область,KG02,1.43283
2011,Иссык-Кульская область,KG02,1.496891
2012,Иссык-Кульская область,KG02,1.460728
2013,Иссык-Кульская область,KG02,1.410681
2014,Иссык-Кульская область,KG02,1.397339
2015,Иссык-Кульская область,KG02,1.366613
2016,Иссык-Кульская область,KG02,1.391437
