From,To
Geographical area,Sex
Geographical area,Местность
Geographical area,Возраст (лет)
Geographical area,Функциональные трудности у ребенка (возраст: 2-14 лет)
Geographical area,Функциональные трудности у матери (возраст: 18-49 лет)
Geographical area,Квинтиль индекса благосостояния
