From,To
Показатель,Местность
Показатель,Geographical area
Показатель,Возраст
Показатель,Образование матери
Показатель,Функциональные трудности у ребенка
Показатель,Функциональные трудности у матери
Показатель,Квинтиль индекса благосостояния
