Year,SERIES,Value
2013,_L_KG_150201_1,1037.0
2014,_L_KG_150201_1,778.0
2015,_L_KG_150201_1,507.0
2016,_L_KG_150201_1,616.0
2017,_L_KG_150201_1,490.0
2018,_L_KG_150201_1,400.0
2019,_L_KG_150201_1,412.0
2020,_L_KG_150201_1,308.0
2021,_L_KG_150201_1,212.1
2022,_L_KG_150201_1,723.8
2013,AG_LND_FRSTBIOPHA,26.7
2013,AG_LND_FRSTPRCT,5.7
2014,AG_LND_FRSTPRCT,5.7
2015,AG_LND_FRSTPRCT,5.7
2016,AG_LND_FRSTPRCT,5.7
2017,AG_LND_FRSTPRCT,5.7
2018,AG_LND_FRSTPRCT,5.8
2019,AG_LND_FRSTPRCT,9.8
2020,AG_LND_FRSTPRCT,9.8
2021,AG_LND_FRSTPRCT,9.8
2013,AG_LND_FRSTMGT,74.6
2014,AG_LND_FRSTMGT,76.4
2015,AG_LND_FRSTMGT,78.0
2016,AG_LND_FRSTMGT,79.6
2017,AG_LND_FRSTMGT,81.3
2018,AG_LND_FRSTMGT,82.6
2019,AG_LND_FRSTMGT,64.0
2020,AG_LND_FRSTMGT,64.0
2021,AG_LND_FRSTMGT,64.0
2022,AG_LND_FRSTMGT,64.0
