Year,INCOME_WEALTH_QUANTILE,Value
2015,B40,2.219719
2016,B40,2.123527
2017,B40,2.781854
2018,B40,6.727296
2019,B40,5.152583
2020,B40,4.477454
2021,B40,4.602467
2022,B40,3.946287
2015,,2.232286
2016,,2.860355
2017,,3.113207
2018,,6.297059
2019,,4.861775
2020,,2.671509
2021,,4.369451
2022,,3.800766
