Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2016,,,,,,,,76.65949
2017,,,,,,,,79.591408
2018,,,,,,,,75.693466
2019,,,,,,,,76.1
2020,,,,,,,,72.8
2021,,,,,,,,70.820997
2022,,,,,,,,73.124656
2016,,,,U,,,,86.923359
2017,,,,U,,,,88.370239
2018,,,,U,,,,88.614312
2019,,,,U,,,,90.5
2020,,,,U,,,,88.5
2021,,,,U,,,,85.966681
2022,,,,U,,,,87.98819
2016,,,,R,,,,71.082283
2017,,,,R,,,,74.829362
2018,,,,R,,,,68.679954
2019,,,,R,,,,68.0
2020,,,,R,,,,64.0
2021,,,,R,,,,61.842863
2022,,,,R,,,,64.500592
2016,,M,,,,,,76.070682
2017,,M,,,,,,79.163385
2018,,M,,,,,,74.691389
2019,,M,,,,,,75.1
2020,,M,,,,,,71.8
2021,,M,,,,,,69.966769
2022,,M,,,,,,72.3844
2016,,F,,,,,,77.193586
2017,,F,,,,,,79.979372
2018,,F,,,,,,76.58919
2019,,F,,,,,,76.9
2020,,F,,,,,,73.7
2021,,F,,,,,,71.587519
2022,,F,,,,,,73.791504
2016,KG05,,,,,,KG05,75.839901
2017,KG05,,,,,,KG05,70.826955
2018,KG05,,,,,,KG05,71.771366
2019,KG05,,,,,,KG05,71.6
2020,KG05,,,,,,KG05,71.0
2021,KG05,,,,,,KG05,53.549862
2022,KG05,,,,,,KG05,59.191142
2016,KG03,,,,,,KG03,76.702406
2017,KG03,,,,,,KG03,74.372043
2018,KG03,,,,,,KG03,64.443145
2019,KG03,,,,,,KG03,66.6
2020,KG03,,,,,,KG03,52.6
2021,KG03,,,,,,KG03,54.307261
2022,KG03,,,,,,KG03,53.615471
2016,KG02,,,,,,KG02,47.347626
2017,KG02,,,,,,KG02,57.4837
2018,KG02,,,,,,KG02,67.008718
2019,KG02,,,,,,KG02,66.5
2020,KG02,,,,,,KG02,48.6
2021,KG02,,,,,,KG02,53.808777
2022,KG02,,,,,,KG02,46.885693
2016,KG04,,,,,,KG04,77.440012
2017,KG04,,,,,,KG04,79.315292
2018,KG04,,,,,,KG04,79.01207
2019,KG04,,,,,,KG04,67.0
2020,KG04,,,,,,KG04,77.4
2021,KG04,,,,,,KG04,77.926565
2022,KG04,,,,,,KG04,70.904364
2016,KG06,,,,,,KG06,74.642534
2017,KG06,,,,,,KG06,79.01967
2018,KG06,,,,,,KG06,66.576206
2019,KG06,,,,,,KG06,68.3
2020,KG06,,,,,,KG06,66.9
2021,KG06,,,,,,KG06,63.504823
2022,KG06,,,,,,KG06,73.702361
2016,KG07,,,,,,KG07,73.7187
2017,KG07,,,,,,KG07,74.070232
2018,KG07,,,,,,KG07,53.969782
2019,KG07,,,,,,KG07,52.5
2020,KG07,,,,,,KG07,53.6
2021,KG07,,,,,,KG07,54.390585
2022,KG07,,,,,,KG07,54.137211
2016,KG08,,,,,,KG08,72.259617
2017,KG08,,,,,,KG08,82.936082
2018,KG08,,,,,,KG08,88.432638
2019,KG08,,,,,,KG08,84.9
2020,KG08,,,,,,KG08,87.3
2021,KG08,,,,,,KG08,82.345362
2022,KG08,,,,,,KG08,84.677528
2016,KG11,,,,,,KG11,91.985988
2017,KG11,,,,,,KG11,95.050715
2018,KG11,,,,,,KG11,93.868046
2019,KG11,,,,,,KG11,98.2
2020,KG11,,,,,,KG11,99.6
2021,KG11,,,,,,KG11,99.353343
2022,KG11,,,,,,KG11,100.0
2016,KG21,,,,,,KG21,100.0
2017,KG21,,,,,,KG21,99.418328
2018,KG21,,,,,,KG21,100.0
2019,KG21,,,,,,KG21,99.8
2020,KG21,,,,,,KG21,100.0
2021,KG21,,,,,,KG21,100.0
2022,KG21,,,,,,KG21,99.930852
2016,,,Y0T5,,,,,75.934458
2017,,,Y0T5,,,,,77.895976
2018,,,Y0T5,,,,,75.284861
2019,,,Y0T5,,,,,75.1
2020,,,Y0T5,,,,,71.8
2021,,,Y0T5,,,,,69.019712
2022,,,Y0T5,,,,,71.2306
2016,,,Y7T14,,,,,76.34227
2017,,,Y7T14,,,,,78.403908
2018,,,Y7T14,,,,,75.798122
2019,,,Y7T14,,,,,75.1
2020,,,Y7T14,,,,,71.2
2021,,,Y7T14,,,,,70.100725
2022,,,Y7T14,,,,,71.968839
2016,,,Y15T28,,,,,77.131081
2017,,,Y15T28,,,,,81.295318
2018,,,Y15T28,,,,,74.302741
2019,,,Y15T28,,,,,75.9
2020,,,Y15T28,,,,,73.0
2021,,,Y15T28,,,,,71.228883
2022,,,Y15T28,,,,,73.309896
2016,,,Y29T62,,,,,76.831249
2017,,,Y29T62,,,,,79.634405
2018,,,Y29T62,,,,,76.521211
2019,,,Y29T62,,,,,77.4
2020,,,Y29T62,,,,,74.2
2021,,,Y29T62,,,,,71.560363
2022,,,Y29T62,,,,,74.67965
2016,,,Y_GE58,,,,,76.794901
2017,,,Y_GE58,,,,,80.93039
2018,,,Y_GE58,,,,,75.760086
2019,,,Y_GE58,,,,,74.9
2020,,,Y_GE58,,,,,72.1
2021,,,Y_GE58,,,,,71.2198
2022,,,Y_GE58,,,,,72.206087
2016,,,,,,ISCED11_1,,75.216542
2017,,,,,,ISCED11_1,,78.30484
2018,,,,,,ISCED11_1,,75.141999
2019,,,,,,ISCED11_1,,75.1
2020,,,,,,ISCED11_1,,71.7
2021,,,,,,ISCED11_1,,70.310206
2022,,,,,,ISCED11_1,,71.961939
2016,,,,,,ISCED11_2,,80.225607
2017,,,,,,ISCED11_2,,79.020964
2018,,,,,,ISCED11_2,,76.53136
2019,,,,,,ISCED11_2,,77.3
2020,,,,,,ISCED11_2,,73.8
2021,,,,,,ISCED11_2,,70.746152
2022,,,,,,ISCED11_2,,74.679328
2016,,,,,,ISCED11_3,,75.037157
2017,,,,,,ISCED11_3,,78.352825
2018,,,,,,ISCED11_3,,72.09416
2019,,,,,,ISCED11_3,,74.1
2020,,,,,,ISCED11_3,,69.5
2021,,,,,,ISCED11_3,,67.352567
2022,,,,,,ISCED11_3,,70.040282
2016,,,,,,ISCED11_4,,78.366259
2017,,,,,,ISCED11_4,,83.853085
2018,,,,,,ISCED11_4,,80.180024
2019,,,,,,ISCED11_4,,79.0
2020,,,,,,ISCED11_4,,77.1
2021,,,,,,ISCED11_4,,74.17407
2022,,,,,,ISCED11_4,,76.912571
2016,,,,,,ISCED11_6_7,,79.940306
2017,,,,,,ISCED11_6_7,,83.947666
2018,,,,,,ISCED11_6_7,,82.067382
2019,,,,,,ISCED11_6_7,,81.4
2020,,,,,,ISCED11_6_7,,80.4
2021,,,,,,ISCED11_6_7,,78.97639
2022,,,,,,ISCED11_6_7,,80.478078
2016,,,,,Q1,,,72.459521
2017,,,,,Q1,,,79.324082
2018,,,,,Q1,,,74.701544
2019,,,,,Q1,,,71.6
2020,,,,,Q1,,,66.873388
2021,,,,,Q1,,,64.367694
2022,,,,,Q1,,,70.520816
2016,,,,,Q2,,,77.314517
2017,,,,,Q2,,,81.925162
2018,,,,,Q2,,,74.760832
2019,,,,,Q2,,,73.0
2020,,,,,Q2,,,76.162079
2021,,,,,Q2,,,71.466218
2022,,,,,Q2,,,75.45238
2016,,,,,Q3,,,77.695134
2017,,,,,Q3,,,79.355343
2018,,,,,Q3,,,75.445514
2019,,,,,Q3,,,79.8
2020,,,,,Q3,,,73.787028
2021,,,,,Q3,,,74.357597
2022,,,,,Q3,,,73.96445
2016,,,,,Q4,,,78.152318
2017,,,,,Q4,,,78.68821
2018,,,,,Q4,,,75.522557
2019,,,,,Q4,,,78.6
2020,,,,,Q4,,,76.372727
2021,,,,,Q4,,,73.016879
2022,,,,,Q4,,,74.076691
2016,,,,,Q5,,,77.652465
2017,,,,,Q5,,,78.64359
2018,,,,,Q5,,,78.047036
2019,,,,,Q5,,,77.2
2020,,,,,Q5,,,73.088156
2021,,,,,Q5,,,73.786667
2022,,,,,Q5,,,70.872447
