Year,Тип продукта,Value
2010,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),63.132137
2011,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),63.132137
2012,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),61.011419
2013,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),55.628059
2014,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),57.748777
2015,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),66.068515
2016,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),64.763458
2017,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),64.600326
2018,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),76.508972
2019,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),71.125612
2020,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),70.96248
2021,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),72.920065
2022,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),76.508972
2023,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),74.605426
2010,Молоко и молочные продукты (в пересчете на молоко),106.2
2011,Молоко и молочные продукты (в пересчете на молоко),106.5
2012,Молоко и молочные продукты (в пересчете на молоко),107.1
2013,Молоко и молочные продукты (в пересчете на молоко),109.25
2014,Молоко и молочные продукты (в пересчете на молоко),109.9
2015,Молоко и молочные продукты (в пересчете на молоко),115.75
2016,Молоко и молочные продукты (в пересчете на молоко),115.15
2017,Молоко и молочные продукты (в пересчете на молоко),114.8
2018,Молоко и молочные продукты (в пересчете на молоко),112.15
2019,Молоко и молочные продукты (в пересчете на молоко),110.6
2020,Молоко и молочные продукты (в пересчете на молоко),109.3
2021,Молоко и молочные продукты (в пересчете на молоко),110.95
2022,Молоко и молочные продукты (в пересчете на молоко),110.15
2023,Молоко и молочные продукты (в пересчете на молоко),118.8
2010,Яйца,43.506849
2011,Яйца,45.041096
2012,Яйца,44.821918
2013,Яйца,46.246575
2014,Яйца,45.643836
2015,Яйца,48.328767
2016,Яйца,44.986301
2017,Яйца,48.493151
2018,Яйца,48.876712
2019,Яйца,53.424658
2020,Яйца,55.178082
2021,Яйца,56.821918
2022,Яйца,66.630137
2023,Яйца,71.616438
2010,Сахар,83.203125
2011,Сахар,83.59375
2012,Сахар,79.296875
2013,Сахар,83.203125
2014,Сахар,78.515625
2015,Сахар,73.4375
2016,Сахар,88.28125
2017,Сахар,91.40625
2018,Сахар,99.609375
2019,Сахар,98.4375
2020,Сахар,62.890625
2021,Сахар,92.578125
2022,Сахар,138.671875
2023,Сахар,95.703125
2010,Растительное масло,131.393493
2011,Растительное масло,129.24425
2012,Растительное масло,119.386637
2013,Растительное масло,139.101862
2014,Растительное масло,141.292442
2015,Растительное масло,148.959474
2016,Растительное масло,119.386637
2017,Растительное масло,116.100767
2018,Растительное масло,124.863089
2019,Растительное масло,134.720701
2020,Растительное масло,166.484118
2021,Растительное масло,167.579409
2022,Растительное масло,168.674699
2023,Растительное масло,113.910186
2010,Картофель,98.181818
2011,Картофель,99.494949
2012,Картофель,101.115619
2013,Картофель,101.521298
2014,Картофель,101.825558
2015,Картофель,111.156187
2016,Картофель,111.561866
2017,Картофель,111.257606
2018,Картофель,146.450304
2019,Картофель,128.397566
2020,Картофель,111.764706
2021,Картофель,112.880325
2022,Картофель,107.200811
2023,Картофель,108.21501
2010,Овощи и бахчевые,131.3
2011,Овощи и бахчевые,131.2
2012,Овощи и бахчевые,132.370954
2013,Овощи и бахчевые,132.458443
2014,Овощи и бахчевые,133.595801
2015,Овощи и бахчевые,142.257218
2016,Овощи и бахчевые,144.619423
2017,Овощи и бахчевые,156.955381
2018,Овощи и бахчевые,163.954506
2019,Овощи и бахчевые,143.482065
2020,Овощи и бахчевые,161.417323
2021,Овощи и бахчевые,152.143482
2022,Овощи и бахчевые,155.380577
2023,Овощи и бахчевые,165.266842
2010,Фрукты и ягоды,24.193548
2011,Фрукты и ягоды,23.225806
2012,Фрукты и ягоды,19.56346
2013,Фрукты и ягоды,23.686338
2014,Фрукты и ягоды,24.009701
2015,Фрукты и ягоды,26.434923
2016,Фрукты и ягоды,35.89329
2017,Фрукты и ягоды,35.569927
2018,Фрукты и ягоды,27.970897
2019,Фрукты и ягоды,35.004042
2020,Фрукты и ягоды,26.919968
2021,Фрукты и ягоды,26.273242
2022,Фрукты и ягоды,36.054972
2023,Фрукты и ягоды,48.504446
2010,"Пшеница и продукты ее переработки, в муке",146.666259
2011,"Пшеница и продукты ее переработки, в муке",146.492793
2012,"Пшеница и продукты ее переработки, в муке",147.56902
2013,"Пшеница и продукты ее переработки, в муке",150.256536
2014,"Пшеница и продукты ее переработки, в муке",150.378695
2015,"Пшеница и продукты ее переработки, в муке",149.034938
2016,"Пшеница и продукты ее переработки, в муке",147.44686
2017,"Пшеница и продукты ее переработки, в муке",133.642805
2018,"Пшеница и продукты ее переработки, в муке",102.12558
2019,"Пшеница и продукты ее переработки, в муке",99.315905
2020,"Пшеница и продукты ее переработки, в муке",107.378451
2021,"Пшеница и продукты ее переработки, в муке",85.02321
2022,"Пшеница и продукты ее переработки, в муке",106.767652
2023,"Пшеница и продукты ее переработки, в муке",101.759101
2010,Рыба и рыбопродукты,16.483516
2011,Рыба и рыбопродукты,20.879121
2012,Рыба и рыбопродукты,21.978022
2013,Рыба и рыбопродукты,20.879121
2014,Рыба и рыбопродукты,20.879121
2015,Рыба и рыбопродукты,20.879121
2016,Рыба и рыбопродукты,10.989011
2017,Рыба и рыбопродукты,10.989011
2018,Рыба и рыбопродукты,12.087912
2019,Рыба и рыбопродукты,6.593407
2020,Рыба и рыбопродукты,10.989011
2021,Рыба и рыбопродукты,15.384615
2022,Рыба и рыбопродукты,32.967033
2023,Рыба и рыбопродукты,52.747253
