Year,SERIES,Value
2007,_L_KG_070201_1A,43.5
2008,_L_KG_070201_1A,36.0
2009,_L_KG_070201_1A,35.6
2010,_L_KG_070201_1A,38.7
2011,_L_KG_070201_1A,41.0
2012,_L_KG_070201_1A,37.1
2013,_L_KG_070201_1A,33.3
2014,_L_KG_070201_1A,36.7
2015,_L_KG_070201_1A,30.6
2016,_L_KG_070201_1A,31.6
2017,_L_KG_070201_1A,36.5
2018,_L_KG_070201_1A,33.9
2019,_L_KG_070201_1A,35.7
2020,_L_KG_070201_1A,36.7
2021,_L_KG_070201_1A,31.8
2022,_L_KG_070201_1A,30.0
2007,_L_KG_070201_1B,14004.1
2008,_L_KG_070201_1B,10759.1
2009,_L_KG_070201_1B,10098.0
2010,_L_KG_070201_1B,11254.7
2011,_L_KG_070201_1B,14309.1
2012,_L_KG_070201_1B,14179.0
2013,_L_KG_070201_1B,13096.7
2014,_L_KG_070201_1B,13297.6
2015,_L_KG_070201_1B,11092.7
2016,_L_KG_070201_1B,11497.8
2017,_L_KG_070201_1B,14191.2
2018,_L_KG_070201_1B,14318.3
2019,_L_KG_070201_1B,13859.3
2020,_L_KG_070201_1B,13979.1
2021,_L_KG_070201_1B,12957.1
2022,_L_KG_070201_1B,11928.6
