Year,Degree of urbanisation,Value
2015,,61086
2016,,62421
2017,,63713
2018,,65168
2019,,66636
2020,,67896
2021,,69128
2022,,70376
2023,,71619
2024,,72818
2015,Urban,20328
2016,Urban,20776
2017,Urban,21252
2018,Urban,21782
2019,Urban,22361
2020,Urban,22881
2021,Urban,23959
2022,Urban,24537
2023,Urban,29784
2024,Urban,30373
2015,Rural,40758
2016,Rural,41645
2017,Rural,42461
2018,Rural,43386
2019,Rural,44275
2020,Rural,45015
2021,Rural,45169
2022,Rural,45839
2023,Rural,41835
2024,Rural,42445
