Year,SERIES,Value
2008,_L_KG_100501_11,29.2
2009,_L_KG_100501_11,36.6
2010,_L_KG_100501_11,27.6
2011,_L_KG_100501_11,23.6
2012,_L_KG_100501_11,28.2
2013,_L_KG_100501_11,31.3
2014,_L_KG_100501_11,34.3
2015,_L_KG_100501_11,41.4
2016,_L_KG_100501_11,37.4
2017,_L_KG_100501_11,37.3
2018,_L_KG_100501_11,39.8
2007,_L_KG_100501_12,16.5
2008,_L_KG_100501_12,15.7
2009,_L_KG_100501_12,19.7
2010,_L_KG_100501_12,15.5
2011,_L_KG_100501_12,13.5
2012,_L_KG_100501_12,16.3
2013,_L_KG_100501_12,19.0
2014,_L_KG_100501_12,20.6
2015,_L_KG_100501_12,23.9
2016,_L_KG_100501_12,22.5
2017,_L_KG_100501_12,22.9
2018,_L_KG_100501_12,23.9
2007,_L_KG_100501_13,14.7
2008,_L_KG_100501_13,13.6
2009,_L_KG_100501_13,12.5
2010,_L_KG_100501_13,12.0
2011,_L_KG_100501_13,10.9
2012,_L_KG_100501_13,12.9
2013,_L_KG_100501_13,15.2
2014,_L_KG_100501_13,19.7
2015,_L_KG_100501_13,21.8
2016,_L_KG_100501_13,19.6
2017,_L_KG_100501_13,20.4
2018,_L_KG_100501_13,23.0
