Year,Value,SERIES
2016,153,Number of voluntarily surrendered firearms
2017,196,Number of voluntarily surrendered firearms
2018,232,Number of voluntarily surrendered firearms
2019,146,Number of voluntarily surrendered firearms
2020,158,Number of voluntarily surrendered firearms
2021,149,Number of voluntarily surrendered firearms
2023,219,Number of voluntarily surrendered firearms
2016,217,Number of seized firearms
2017,399,Number of seized firearms
2018,296,Number of seized firearms
2019,127,Number of seized firearms
2020,397,Number of seized firearms
2021,159,Number of seized firearms
2023,171,Number of seized firearms
