Year,Value,GeoCode,SERIES
2015,3390.2,,"Median value, som per month per capita"
2016,3572.5,,"Median value, som per month per capita"
2017,3991.9,,"Median value, som per month per capita"
2018,4466.4,,"Median value, som per month per capita"
2019,4774.194444,,"Median value, som per month per capita"
2020,4700.5,,"Median value, som per month per capita"
2021,5356.3,,"Median value, som per month per capita"
2022,6512.5,,"Median value, som per month per capita"
