Year,Value,GeoCode
2007,9.2,
2008,8.9,
2009,8.5,
2010,9.2,
2011,8.5,
2012,9.3,
2013,7.8,
2014,7.9,
2015,7.0,
2016,6.9,
2017,6.3,
2018,6.0,
2019,5.8,
2020,4.6,
