Year,Value
2000,201.22
2001,97.290667
2002,94.100667
2003,171.588
2004,203.523333
2005,301.586667
2006,233.559333
2007,277.113663
2008,373.671065
2009,298.475905
2010,368.57808
2011,503.0149787
2012,559.1853185
2013,627.4884287
2014,653.2583191
2015,782.124008
2016,453.2268658
2017,473.896548
2018,502.4740246
2019,476.3788897
2020,478.6347262
2021,457.2146691
2022,742.6848436
2023,479.3238544
