Year,Value,Series
2007,3014,Number of appeals to the Ombudsman
2008,2136,Number of appeals to the Ombudsman
2009,1742,Number of appeals to the Ombudsman
2010,1862,Number of appeals to the Ombudsman
2011,2098,Number of appeals to the Ombudsman
2012,2843,Number of appeals to the Ombudsman
2013,2466,Number of appeals to the Ombudsman
2014,2411,Number of appeals to the Ombudsman
2015,2483,Number of appeals to the Ombudsman
2016,3800,Number of appeals to the Ombudsman
2017,3242,Number of appeals to the Ombudsman
2018,3237,Number of appeals to the Ombudsman
2007,619,Number of successful appeals to the Ombudsman
2010,309,Number of successful appeals to the Ombudsman
2011,196,Number of successful appeals to the Ombudsman
2012,501,Number of successful appeals to the Ombudsman
2013,384,Number of successful appeals to the Ombudsman
2015,374,Number of successful appeals to the Ombudsman
2016,615,Number of successful appeals to the Ombudsman
2017,531,Number of successful appeals to the Ombudsman
2018,376,Number of successful appeals to the Ombudsman
