Year,Value,GeoCode
2010,89.9,
2011,94.5,
2012,94.4,
2013,91.0,
2014,94.4,
2015,94.5,
2016,93.5,
2017,93.9,
2018,95.1,
2019,95.0,
2020,95.9,
2021,97.0,
