Year,Value,GeoCode
2007,29.5,
2008,30.1,
2009,31.2,
2010,34.1,
2011,41.4,
2012,42.1,
2013,41.9,
2014,43.3,
2015,42.3,
2016,38.1,
2017,33.9,
2018,35.9,
2019,37.7,
2020,33.4,
2021,29.684645,
