Year,Value,GeoCode,SERIES
2018,57.9,,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks
2023,68.5,,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks
2018,51.3,,Proportion of children aged 7–14 years who successfully completed three tasks measuring foundational numeracy skills
2023,57.0,,Proportion of children aged 7–14 years who successfully completed three tasks measuring foundational numeracy skills
