Year,Value,GeoCode,SERIES
2014,2.8,,Proportion of children moderately or severely wasted (number)
2018,2.0,,Proportion of children moderately or severely wasted (number)
2023,3.0,,Proportion of children moderately or severely wasted (number)
2014,7.0,,Proportion of children moderately or severely overweight
2018,6.9,,Proportion of children moderately or severely overweight
2023,8.8,,Proportion of children moderately or severely overweight
