Year,Value,SERIES
2013,1037.0,Annual net change rate of forest area (hectares)
2014,778.0,Annual net change rate of forest area (hectares)
2015,507.0,Annual net change rate of forest area (hectares)
2016,616.0,Annual net change rate of forest area (hectares)
2017,490.0,Annual net change rate of forest area (hectares)
2018,400.0,Annual net change rate of forest area (hectares)
2019,412.0,Annual net change rate of forest area (hectares)
2020,308.0,Annual net change rate of forest area (hectares)
2021,212.1,Annual net change rate of forest area (hectares)
2022,723.8,Annual net change rate of forest area (hectares)
2023,583.5,Annual net change rate of forest area (hectares)
2013,26.7,Above-ground biomass in forest per hectare (tonnes per hectare)
2013,5.7,Proportion of forest area within legally established protected areas
2014,5.7,Proportion of forest area within legally established protected areas
2015,5.7,Proportion of forest area within legally established protected areas
2016,5.7,Proportion of forest area within legally established protected areas
2017,5.7,Proportion of forest area within legally established protected areas
2018,5.8,Proportion of forest area within legally established protected areas
2019,9.8,Proportion of forest area within legally established protected areas
2020,9.8,Proportion of forest area within legally established protected areas
2021,9.8,Proportion of forest area within legally established protected areas
2013,74.6,Proportion of forest area with a long-term management plan
2014,76.4,Proportion of forest area with a long-term management plan
2015,78.0,Proportion of forest area with a long-term management plan
2016,79.6,Proportion of forest area with a long-term management plan
2017,81.3,Proportion of forest area with a long-term management plan
2018,82.6,Proportion of forest area with a long-term management plan
2019,64.0,Proportion of forest area with a long-term management plan
2020,64.0,Proportion of forest area with a long-term management plan
2021,64.0,Proportion of forest area with a long-term management plan
2022,64.0,Proportion of forest area with a long-term management plan
2023,64.08,Proportion of forest area with a long-term management plan
