Year,Value,SERIES
2014,378,Number of persons convicted of official misconduct
2015,336,Number of persons convicted of official misconduct
2016,351,Number of persons convicted of official misconduct
2017,234,Number of persons convicted of official misconduct
2018,342,Number of persons convicted of official misconduct
2019,223,Number of persons convicted of official misconduct
2020,210,Number of persons convicted of official misconduct
2021,371,Number of persons convicted of official misconduct
2022,370,Number of persons convicted of official misconduct
2023,413,Number of persons convicted of official misconduct
2014,62,Number of persons convicted of corruption and bribery
2015,69,Number of persons convicted of corruption and bribery
2016,72,Number of persons convicted of corruption and bribery
2017,52,Number of persons convicted of corruption and bribery
2018,56,Number of persons convicted of corruption and bribery
2019,66,Number of persons convicted of corruption and bribery
2020,59,Number of persons convicted of corruption and bribery
2021,178,Number of persons convicted of corruption and bribery
2022,137,Number of persons convicted of corruption and bribery
2023,79,Number of persons convicted of corruption and bribery
