Year,Value,SERIES
2013,2.3,Share of employed in small enterprises in total employment
2014,2.3,Share of employed in small enterprises in total employment
2015,2.2,Share of employed in small enterprises in total employment
2016,2.2,Share of employed in small enterprises in total employment
2017,2.3,Share of employed in small enterprises in total employment
2018,2.2,Share of employed in small enterprises in total employment
2019,3.0,Share of employed in small enterprises in total employment
2020,2.821855,Share of employed in small enterprises in total employment
2013,1.6,Share of employed in medium enterprises in total employment
2014,1.6,Share of employed in medium enterprises in total employment
2015,1.5,Share of employed in medium enterprises in total employment
2016,1.5,Share of employed in medium enterprises in total employment
2017,1.5,Share of employed in medium enterprises in total employment
2018,1.4,Share of employed in medium enterprises in total employment
2019,1.4,Share of employed in medium enterprises in total employment
2020,1.300507,Share of employed in medium enterprises in total employment
