Year,Value,GeoCode,UNIT_MEASURE,SERIES
2010,1768.0,,Million of cubic metres per annum,Water loss at transportation (volume)
2011,1877.1,,Million of cubic metres per annum,Water loss at transportation (volume)
2012,1955.3,,Million of cubic metres per annum,Water loss at transportation (volume)
2013,1873.3,,Million of cubic metres per annum,Water loss at transportation (volume)
2014,2029.8,,Million of cubic metres per annum,Water loss at transportation (volume)
2015,2092.3,,Million of cubic metres per annum,Water loss at transportation (volume)
2016,1841.6,,Million of cubic metres per annum,Water loss at transportation (volume)
2017,2128.3,,Million of cubic metres per annum,Water loss at transportation (volume)
2018,2085.2,,Million of cubic metres per annum,Water loss at transportation (volume)
2019,2242.8,,Million of cubic metres per annum,Water loss at transportation (volume)
2020,2198.7,,Million of cubic metres per annum,Water loss at transportation (volume)
2021,2148.2,,Million of cubic metres per annum,Water loss at transportation (volume)
2022,2349.7,,Million of cubic metres per annum,Water loss at transportation (volume)
2010,23.4,,Percent,Water loss at transportation as proportion of total water withdrawal
2011,21.7,,Percent,Water loss at transportation as proportion of total water withdrawal
2012,21.7,,Percent,Water loss at transportation as proportion of total water withdrawal
2013,22.5,,Percent,Water loss at transportation as proportion of total water withdrawal
2014,26.5,,Percent,Water loss at transportation as proportion of total water withdrawal
2015,27.6,,Percent,Water loss at transportation as proportion of total water withdrawal
2016,25.1,,Percent,Water loss at transportation as proportion of total water withdrawal
2017,27.8,,Percent,Water loss at transportation as proportion of total water withdrawal
2018,26.9,,Percent,Water loss at transportation as proportion of total water withdrawal
2019,27.8,,Percent,Water loss at transportation as proportion of total water withdrawal
2020,27.4,,Percent,Water loss at transportation as proportion of total water withdrawal
2021,26.9,,Percent,Water loss at transportation as proportion of total water withdrawal
2022,26.7,,Percent,Water loss at transportation as proportion of total water withdrawal
