Year,concept.REF_AREA,Value
2007,,12.682241
2008,,11.85677
2009,,11.505973
2010,,10.442468
2011,,11.743119
2012,,11.831386
2013,,12.209281
2014,,11.581086
2015,,10.209622
2016,,10.170663
2017,,9.727135
2018,,20.734908
2007,CL_AREA.KG05,14.521452
2008,CL_AREA.KG05,16.4
2009,CL_AREA.KG05,14.425428
2010,CL_AREA.KG05,14.469914
2011,CL_AREA.KG05,13.604488
2012,CL_AREA.KG05,11.659808
2013,CL_AREA.KG05,10.513141
2014,CL_AREA.KG05,10.607867
2015,CL_AREA.KG05,9.737418
2016,CL_AREA.KG05,9.543011
2017,CL_AREA.KG05,7.394366
2018,CL_AREA.KG05,16.6215
2007,CL_AREA.KG03,11.271676
2008,CL_AREA.KG03,11.738535
2009,CL_AREA.KG03,10.985825
2010,CL_AREA.KG03,9.550419
2011,CL_AREA.KG03,13.407222
2012,CL_AREA.KG03,13.228863
2013,CL_AREA.KG03,14.223455
2014,CL_AREA.KG03,13.31045
2015,CL_AREA.KG03,12.970219
2016,CL_AREA.KG03,11.583637
2017,CL_AREA.KG03,10.880196
2018,CL_AREA.KG03,14.846672
2007,CL_AREA.KG02,8.540686
2008,CL_AREA.KG02,8.259986
2009,CL_AREA.KG02,9.315589
2010,CL_AREA.KG02,8.22112
2011,CL_AREA.KG02,8.420239
2012,CL_AREA.KG02,8.84919
2013,CL_AREA.KG02,9.235528
2014,CL_AREA.KG02,9.274194
2015,CL_AREA.KG02,9.147425
2016,CL_AREA.KG02,10.567515
2017,CL_AREA.KG02,10.426321
2018,CL_AREA.KG02,15.030146
2007,CL_AREA.KG04,10.864198
2008,CL_AREA.KG04,9.78836
2009,CL_AREA.KG04,11.829436
2010,CL_AREA.KG04,11.290323
2011,CL_AREA.KG04,12.066574
2012,CL_AREA.KG04,15.660685
2013,CL_AREA.KG04,16.021127
2014,CL_AREA.KG04,15.99297
2015,CL_AREA.KG04,13.204509
2016,CL_AREA.KG04,8.777429
2017,CL_AREA.KG04,6.107955
2018,CL_AREA.KG04,16.91678
2007,CL_AREA.KG06,16.491228
2008,CL_AREA.KG06,15.367483
2009,CL_AREA.KG06,13.901531
2010,CL_AREA.KG06,9.337676
2011,CL_AREA.KG06,15.801457
2012,CL_AREA.KG06,15.308989
2013,CL_AREA.KG06,13.977567
2014,CL_AREA.KG06,13.731473
2015,CL_AREA.KG06,12.995781
2016,CL_AREA.KG06,13.668061
2017,CL_AREA.KG06,13.422509
2018,CL_AREA.KG06,18.432574
2007,CL_AREA.KG07,14.364035
2008,CL_AREA.KG07,10.358566
2009,CL_AREA.KG07,9.846154
2010,CL_AREA.KG07,12.527233
2011,CL_AREA.KG07,12.529002
2012,CL_AREA.KG07,12.204234
2013,CL_AREA.KG07,12.035851
2014,CL_AREA.KG07,10.376135
2015,CL_AREA.KG07,10.504775
2016,CL_AREA.KG07,5.898876
2017,CL_AREA.KG07,5.3125
2018,CL_AREA.KG07,10.169492
2007,CL_AREA.KG08,5.955414
2008,CL_AREA.KG08,5.909974
2009,CL_AREA.KG08,6.102396
2010,CL_AREA.KG08,5.576827
2011,CL_AREA.KG08,5.305596
2012,CL_AREA.KG08,5.752841
2013,CL_AREA.KG08,5.859081
2014,CL_AREA.KG08,5.610561
2015,CL_AREA.KG08,4.5309
2016,CL_AREA.KG08,5.81876
2017,CL_AREA.KG08,6.0367
2018,CL_AREA.KG08,10.008187
2007,CL_AREA.KG11,17.506545
2008,CL_AREA.KG11,15.300865
2009,CL_AREA.KG11,14.217706
2010,CL_AREA.KG11,15.744136
2011,CL_AREA.KG11,14.394252
2012,CL_AREA.KG11,14.448038
2013,CL_AREA.KG11,15.28626
2014,CL_AREA.KG11,14.864036
2015,CL_AREA.KG11,12.481577
2016,CL_AREA.KG11,12.093526
2017,CL_AREA.KG11,11.219696
2018,CL_AREA.KG11,27.432647
2007,CL_AREA.KG21,14.014055
2008,CL_AREA.KG21,13.525773
2009,CL_AREA.KG21,12.5
2010,CL_AREA.KG21,5.6182
2011,CL_AREA.KG21,12.006861
2012,CL_AREA.KG21,10.845431
2013,CL_AREA.KG21,11.443015
2014,CL_AREA.KG21,9.732748
2015,CL_AREA.KG21,9.389671
2016,CL_AREA.KG21,10.341767
2017,CL_AREA.KG21,10.013292
2018,CL_AREA.KG21,27.852349
