Year,SEX,AGE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,Value
2009,,,,_L_ACS_RETIRED,94
2010,,,,_L_ACS_RETIRED,93
2011,,,,_L_ACS_RETIRED,70
2012,,,,_L_ACS_RETIRED,87
2013,,,,_L_ACS_RETIRED,85
2014,,,,_L_ACS_RETIRED,143
2015,,,,_L_ACS_RETIRED,165
2016,,,,_L_ACS_RETIRED,367
2017,,,,_L_ACS_RETIRED,523
2018,,,,_L_ACS_RETIRED,315
2019,,,,_L_ACS_RETIRED,359
