Year,REF_AREA,SEX,AGE,URBANISATION,Value
2015,KG06,,,,289
2016,KG06,,,,220
2017,KG06,,,,143
2018,KG06,,,,148
2019,KG06,,,,140
2020,KG06,,,,188
2007,KG06,F,,,487
2008,KG06,F,,,379
2009,KG06,F,,,383
2010,KG06,F,,,406
2011,KG06,F,,,442
2012,KG06,F,,,506
2013,KG06,F,,,427
2014,KG06,F,,,305
2015,KG06,F,,,284
2016,KG06,F,,,218
2017,KG06,F,,,129
2018,KG06,F,,,153
2019,KG06,F,,,141
2020,KG06,F,,,189
2007,KG06,M,,,443
2008,KG06,M,,,369
2009,KG06,M,,,382
2010,KG06,M,,,432
2011,KG06,M,,,452
2012,KG06,M,,,524
2013,KG06,M,,,442
2014,KG06,M,,,331
2015,KG06,M,,,295
2016,KG06,M,,,223
2017,KG06,M,,,157
2018,KG06,M,,,143
2019,KG06,M,,,139
2020,KG06,M,,,187
2007,KG07,,,,353
2008,KG07,,,,430
2009,KG07,,,,330
2010,KG07,,,,423
2011,KG07,,,,502
2012,KG07,,,,396
2013,KG07,,,,231
2014,KG07,,,,190
2015,KG07,,,,215
2016,KG07,,,,181
2017,KG07,,,,207
2018,KG07,,,,221
2019,KG07,,,,133
2020,KG07,,,,125
2007,KG07,F,,,355
2008,KG07,F,,,454
2009,KG07,F,,,357
2010,KG07,F,,,443
2011,KG07,F,,,514
2012,KG07,F,,,422
2013,KG07,F,,,233
2014,KG07,F,,,197
2015,KG07,F,,,226
2016,KG07,F,,,191
2017,KG07,F,,,214
2018,KG07,F,,,238
2019,KG07,F,,,140
2020,KG07,F,,,121
2007,KG07,M,,,349
2008,KG07,M,,,400
2009,KG07,M,,,298
2010,KG07,M,,,401
2011,KG07,M,,,488
2012,KG07,M,,,367
2013,KG07,M,,,228
2014,KG07,M,,,184
2015,KG07,M,,,204
2016,KG07,M,,,171
2017,KG07,M,,,199
2018,KG07,M,,,203
2019,KG07,M,,,126
2020,KG07,M,,,129
2007,KG08,,,,150
2008,KG08,,,,158
2009,KG08,,,,212
2010,KG08,,,,219
2011,KG08,,,,286
2012,KG08,,,,166
2013,KG08,,,,236
2014,KG08,,,,216
2015,KG08,,,,248
2016,KG08,,,,303
2017,KG08,,,,333
2018,KG08,,,,156
2019,KG08,,,,191
2020,KG08,,,,254
2007,KG08,F,,,133
2008,KG08,F,,,149
2009,KG08,F,,,206
2010,KG08,F,,,218
2011,KG08,F,,,316
2012,KG08,F,,,163
2013,KG08,F,,,235
2014,KG08,F,,,208
2015,KG08,F,,,242
2016,KG08,F,,,298
2017,KG08,F,,,323
2018,KG08,F,,,155
2019,KG08,F,,,191
2020,KG08,F,,,243
2007,KG08,M,,,168
2008,KG08,M,,,167
2009,KG08,M,,,219
2010,KG08,M,,,219
2011,KG08,M,,,253
2012,KG08,M,,,168
2013,KG08,M,,,237
2014,KG08,M,,,224
2015,KG08,M,,,254
2016,KG08,M,,,309
2017,KG08,M,,,344
2018,KG08,M,,,157
2019,KG08,M,,,190
2020,KG08,M,,,266
2007,KG11,,,,50
2008,KG11,,,,152
2009,KG11,,,,132
2010,KG11,,,,79
2011,KG11,,,,184
2012,KG11,,,,214
2013,KG11,,,,204
2014,KG11,,,,176
2015,KG11,,,,235
2016,KG11,,,,98
2017,KG11,,,,159
2018,KG11,,,,154
2019,KG11,,,,119
2020,KG11,,,,168
2007,KG11,F,,,50
2008,KG11,F,,,146
2009,KG11,F,,,127
2010,KG11,F,,,73
2011,KG11,F,,,171
2012,KG11,F,,,199
2013,KG11,F,,,184
2014,KG11,F,,,158
2015,KG11,F,,,222
2016,KG11,F,,,89
2017,KG11,F,,,143
2018,KG11,F,,,147
2019,KG11,F,,,109
2020,KG11,F,,,164
2007,KG11,M,,,50
2008,KG11,M,,,160
2009,KG11,M,,,140
2010,KG11,M,,,87
2011,KG11,M,,,200
2012,KG11,M,,,233
2013,KG11,M,,,228
2014,KG11,M,,,199
2015,KG11,M,,,252
2016,KG11,M,,,109
2017,KG11,M,,,179
2018,KG11,M,,,163
2019,KG11,M,,,132
2020,KG11,M,,,173
2007,KG21,,,,0
2008,KG21,,,,0
2009,KG21,,,,0
2010,KG21,,,,0
2011,KG21,,,,0
2012,KG21,,,,0
2013,KG21,,,,409
2014,KG21,,,,334
2015,KG21,,,,383
2016,KG21,,,,246
2017,KG21,,,,335
2018,KG21,,,,355
2019,KG21,,,,207
2020,KG21,,,,147
2007,KG21,F,,,0
2008,KG21,F,,,0
2009,KG21,F,,,0
2010,KG21,F,,,0
2011,KG21,F,,,0
2012,KG21,F,,,0
2013,KG21,F,,,402
2014,KG21,F,,,320
2015,KG21,F,,,358
2016,KG21,F,,,232
2017,KG21,F,,,309
2018,KG21,F,,,339
2019,KG21,F,,,197
2020,KG21,F,,,147
2007,KG21,M,,,0
2008,KG21,M,,,0
2009,KG21,M,,,0
2010,KG21,M,,,0
2011,KG21,M,,,0
2012,KG21,M,,,0
2013,KG21,M,,,416
2014,KG21,M,,,350
2015,KG21,M,,,410
2016,KG21,M,,,262
2017,KG21,M,,,364
2018,KG21,M,,,373
2019,KG21,M,,,218
2020,KG21,M,,,148
