Year,concept.REF_AREA,Value
2007,,10.5
2008,,10.8
2009,,9.1
2010,,9.0
2011,,8.0
2012,,7.9
2013,,6.4
2014,,6.8
2015,,7.0
2016,,6.0
2017,,5.9
2018,,6.3
2019,,5.5
2007,CL_AREA.KG05,1.4
2008,CL_AREA.KG05,2.8
2009,CL_AREA.KG05,3.5
2010,CL_AREA.KG05,3.0
2011,CL_AREA.KG05,1.3
2012,CL_AREA.KG05,3.5
2013,CL_AREA.KG05,3.9
2014,CL_AREA.KG05,2.1
2015,CL_AREA.KG05,1.4
2016,CL_AREA.KG05,1.2
2017,CL_AREA.KG05,3.3
2018,CL_AREA.KG05,1.2
2019,CL_AREA.KG05,3.4
2007,CL_AREA.KG03,2.3
2008,CL_AREA.KG03,1.4
2009,CL_AREA.KG03,1.5
2010,CL_AREA.KG03,2.4
2011,CL_AREA.KG03,2.2
2012,CL_AREA.KG03,2.4
2013,CL_AREA.KG03,2.2
2014,CL_AREA.KG03,2.1
2015,CL_AREA.KG03,2.9
2016,CL_AREA.KG03,1.9
2017,CL_AREA.KG03,2.5
2018,CL_AREA.KG03,2.4
2019,CL_AREA.KG03,2.7
2007,CL_AREA.KG02,34.1
2008,CL_AREA.KG02,35.1
2009,CL_AREA.KG02,26.2
2010,CL_AREA.KG02,33.0
2011,CL_AREA.KG02,31.4
2012,CL_AREA.KG02,26.6
2013,CL_AREA.KG02,24.8
2014,CL_AREA.KG02,30.6
2015,CL_AREA.KG02,31.3
2016,CL_AREA.KG02,19.4
2017,CL_AREA.KG02,23.5
2018,CL_AREA.KG02,26.7
2019,CL_AREA.KG02,29.4
2007,CL_AREA.KG04,12.4
2008,CL_AREA.KG04,9.3
2009,CL_AREA.KG04,9.7
2010,CL_AREA.KG04,11.5
2011,CL_AREA.KG04,9.9
2012,CL_AREA.KG04,8.3
2013,CL_AREA.KG04,6.3
2014,CL_AREA.KG04,5.5
2015,CL_AREA.KG04,7.2
2016,CL_AREA.KG04,7.2
2017,CL_AREA.KG04,8.1
2018,CL_AREA.KG04,10.9
2019,CL_AREA.KG04,7.3
2007,CL_AREA.KG06,1.0
2008,CL_AREA.KG06,2.4
2009,CL_AREA.KG06,2.7
2010,CL_AREA.KG06,2.5
2011,CL_AREA.KG06,2.4
2012,CL_AREA.KG06,3.7
2013,CL_AREA.KG06,1.6
2014,CL_AREA.KG06,2.7
2015,CL_AREA.KG06,4.0
2016,CL_AREA.KG06,3.4
2017,CL_AREA.KG06,2.3
2018,CL_AREA.KG06,3.4
2019,CL_AREA.KG06,2.1
2007,CL_AREA.KG07,3.6
2008,CL_AREA.KG07,4.4
2009,CL_AREA.KG07,4.4
2010,CL_AREA.KG07,3.5
2011,CL_AREA.KG07,2.6
2012,CL_AREA.KG07,5.5
2013,CL_AREA.KG07,3.7
2014,CL_AREA.KG07,4.1
2015,CL_AREA.KG07,6.8
2016,CL_AREA.KG07,6.3
2017,CL_AREA.KG07,2.3
2018,CL_AREA.KG07,5.7
2019,CL_AREA.KG07,9.0
2007,CL_AREA.KG08,15.8
2008,CL_AREA.KG08,16.0
2009,CL_AREA.KG08,11.9
2010,CL_AREA.KG08,11.1
2011,CL_AREA.KG08,7.7
2012,CL_AREA.KG08,9.4
2013,CL_AREA.KG08,7.4
2014,CL_AREA.KG08,7.9
2015,CL_AREA.KG08,6.3
2016,CL_AREA.KG08,7.9
2017,CL_AREA.KG08,7.9
2018,CL_AREA.KG08,7.1
2019,CL_AREA.KG08,4.8
2007,CL_AREA.KG11,24.1
2008,CL_AREA.KG11,24.3
2009,CL_AREA.KG11,21.0
2010,CL_AREA.KG11,16.3
2011,CL_AREA.KG11,16.0
2012,CL_AREA.KG11,12.2
2013,CL_AREA.KG11,9.9
2014,CL_AREA.KG11,10.0
2015,CL_AREA.KG11,8.1
2016,CL_AREA.KG11,8.1
2017,CL_AREA.KG11,6.6
2018,CL_AREA.KG11,6.5
2019,CL_AREA.KG11,3.3
2007,CL_AREA.KG21,1.6
2008,CL_AREA.KG21,3.5
2009,CL_AREA.KG21,3.1
2010,CL_AREA.KG21,3.9
2011,CL_AREA.KG21,3.5
2012,CL_AREA.KG21,5.8
2013,CL_AREA.KG21,4.9
2014,CL_AREA.KG21,1.9
2015,CL_AREA.KG21,4.4
2016,CL_AREA.KG21,6.1
2017,CL_AREA.KG21,3.5
2018,CL_AREA.KG21,2.7
2019,CL_AREA.KG21,1.6
