Year,Series,concept.REF_AREA,Value
2007,CL_SERIES.SH_ACS_DTP3,,94.1
2008,CL_SERIES.SH_ACS_DTP3,,95.3
2009,CL_SERIES.SH_ACS_DTP3,,95.4
2010,CL_SERIES.SH_ACS_DTP3,,96.5
2011,CL_SERIES.SH_ACS_DTP3,,95.1
2012,CL_SERIES.SH_ACS_DTP3,,96.2
2013,CL_SERIES.SH_ACS_DTP3,,96.9
2014,CL_SERIES.SH_ACS_DTP3,,95.8
2015,CL_SERIES.SH_ACS_DTP3,,96.6
2016,CL_SERIES.SH_ACS_DTP3,,96.1
2017,CL_SERIES.SH_ACS_DTP3,,93.4
2018,CL_SERIES.SH_ACS_DTP3,,94.5
2019,CL_SERIES.SH_ACS_DTP3,,94.351083
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,93.4
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,96.8
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,95.4
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,96.8
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,96.7
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,98.3
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,97.7
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,98.9
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,98.6
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,98.1
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,96.7
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,96.6
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,98.322619
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,93.6
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,95.6
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,95.9
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,95.9
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,94.2
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,95.9
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,97.8
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,94.8
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,96.1
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,95.8
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,93.8
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,96.1
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,90.174029
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,93.9
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,95.2
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,95.3
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,97.2
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,93.6
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,96.9
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,97.3
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,91.3
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,98.0
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,95.9
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,96.1
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,95.0
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,94.575714
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,94.4
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,95.2
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,95.3
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,96.8
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,95.5
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,97.4
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,98.0
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,97.6
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,97.2
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,96.8
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,97.0
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,94.8
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,97.59292
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,94.4
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,94.5
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,95.1
