Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,GeoCode,Value
2024,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,30
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,91
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,91
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,82
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,71
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,79
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,71
2024,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,70
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,226
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,266
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,313
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,267
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,223
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,219
2024,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,197
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_POOR,,24
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_POOR,,21
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_POOR,,28
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_POOR,,12
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_POOR,,14
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_POOR,,20
2024,SH_XPD_EARN10,,,,,,,_L_HOUS_POOR,,31
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_EXTR_POOR,,0
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_EXTR_POOR,,0
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_EXTR_POOR,,63
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_EXTR_POOR,,6
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_EXTR_POOR,,12
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_EXTR_POOR,,12
2024,SH_XPD_EARN10,,,,,,,_L_HOUS_EXTR_POOR,,26
2020,SH_XPD_EARN25,,,,,,,,,8
2021,SH_XPD_EARN25,,,,,,,,,9
2022,SH_XPD_EARN25,,,,,,,,,8
2023,SH_XPD_EARN25,,,,,,,,,6
2024,SH_XPD_EARN25,,,,,,,,,5
2020,SH_XPD_EARN25,,,,U,,,,,7
2021,SH_XPD_EARN25,,,,U,,,,,6
2022,SH_XPD_EARN25,,,,U,,,,,3
2023,SH_XPD_EARN25,,,,U,,,,,7
2024,SH_XPD_EARN25,,,,U,,,,,5
2020,SH_XPD_EARN25,,,,R,,,,,8
2021,SH_XPD_EARN25,,,,R,,,,,10
2022,SH_XPD_EARN25,,,,R,,,,,10
2023,SH_XPD_EARN25,,,,R,,,,,6
2024,SH_XPD_EARN25,,,,R,,,,,5
2020,SH_XPD_EARN25,,M,,,,,,,8
2021,SH_XPD_EARN25,,M,,,,,,,9
2022,SH_XPD_EARN25,,M,,,,,,,8
2023,SH_XPD_EARN25,,M,,,,,,,6
2024,SH_XPD_EARN25,,M,,,,,,,5
2020,SH_XPD_EARN25,,F,,,,,,,9
2021,SH_XPD_EARN25,,F,,,,,,,9
2022,SH_XPD_EARN25,,F,,,,,,,8
2023,SH_XPD_EARN25,,F,,,,,,,6
2024,SH_XPD_EARN25,,F,,,,,,,5
2020,SH_XPD_EARN25,KG05,,,,,,,KG05,5
2021,SH_XPD_EARN25,KG05,,,,,,,KG05,6
2022,SH_XPD_EARN25,KG05,,,,,,,KG05,1
2023,SH_XPD_EARN25,KG05,,,,,,,KG05,4
2024,SH_XPD_EARN25,KG05,,,,,,,KG05,5
2020,SH_XPD_EARN25,KG03,,,,,,,KG03,3
2021,SH_XPD_EARN25,KG03,,,,,,,KG03,0
2022,SH_XPD_EARN25,KG03,,,,,,,KG03,0
2023,SH_XPD_EARN25,KG03,,,,,,,KG03,0
2024,SH_XPD_EARN25,KG03,,,,,,,KG03,0
2020,SH_XPD_EARN25,KG02,,,,,,,KG02,1
2021,SH_XPD_EARN25,KG02,,,,,,,KG02,2
2022,SH_XPD_EARN25,KG02,,,,,,,KG02,4
2023,SH_XPD_EARN25,KG02,,,,,,,KG02,6
2024,SH_XPD_EARN25,KG02,,,,,,,KG02,1
2020,SH_XPD_EARN25,KG04,,,,,,,KG04,14
2021,SH_XPD_EARN25,KG04,,,,,,,KG04,11
2022,SH_XPD_EARN25,KG04,,,,,,,KG04,12
2023,SH_XPD_EARN25,KG04,,,,,,,KG04,9
2024,SH_XPD_EARN25,KG04,,,,,,,KG04,14
2020,SH_XPD_EARN25,KG06,,,,,,,KG06,14
2021,SH_XPD_EARN25,KG06,,,,,,,KG06,17
2022,SH_XPD_EARN25,KG06,,,,,,,KG06,20
2023,SH_XPD_EARN25,KG06,,,,,,,KG06,1
2024,SH_XPD_EARN25,KG06,,,,,,,KG06,3
2020,SH_XPD_EARN25,KG07,,,,,,,KG07,0
2021,SH_XPD_EARN25,KG07,,,,,,,KG07,3
2022,SH_XPD_EARN25,KG07,,,,,,,KG07,10
2023,SH_XPD_EARN25,KG07,,,,,,,KG07,0
2024,SH_XPD_EARN25,KG07,,,,,,,KG07,0
2020,SH_XPD_EARN25,KG08,,,,,,,KG08,11
2021,SH_XPD_EARN25,KG08,,,,,,,KG08,14
2022,SH_XPD_EARN25,KG08,,,,,,,KG08,10
2023,SH_XPD_EARN25,KG08,,,,,,,KG08,22
2024,SH_XPD_EARN25,KG08,,,,,,,KG08,18
2020,SH_XPD_EARN25,KG11,,,,,,,KG11,12
2021,SH_XPD_EARN25,KG11,,,,,,,KG11,3
2022,SH_XPD_EARN25,KG11,,,,,,,KG11,1
2023,SH_XPD_EARN25,KG11,,,,,,,KG11,5
2024,SH_XPD_EARN25,KG11,,,,,,,KG11,3
2020,SH_XPD_EARN25,KG21,,,,,,,KG21,3
2021,SH_XPD_EARN25,KG21,,,,,,,KG21,25
2022,SH_XPD_EARN25,KG21,,,,,,,KG21,7
2023,SH_XPD_EARN25,KG21,,,,,,,KG21,16
2024,SH_XPD_EARN25,KG21,,,,,,,KG21,7
2020,SH_XPD_EARN25,,,Y0T5,,,,,,5
2021,SH_XPD_EARN25,,,Y0T5,,,,,,8
2022,SH_XPD_EARN25,,,Y0T5,,,,,,7
2023,SH_XPD_EARN25,,,Y0T5,,,,,,3
2024,SH_XPD_EARN25,,,Y0T5,,,,,,2
2020,SH_XPD_EARN25,,,Y7T14,,,,,,7
2021,SH_XPD_EARN25,,,Y7T14,,,,,,7
2022,SH_XPD_EARN25,,,Y7T14,,,,,,6
2023,SH_XPD_EARN25,,,Y7T14,,,,,,2
2024,SH_XPD_EARN25,,,Y7T14,,,,,,4
2020,SH_XPD_EARN25,,,Y15T28,,,,,,5
2021,SH_XPD_EARN25,,,Y15T28,,,,,,3
2022,SH_XPD_EARN25,,,Y15T28,,,,,,7
2023,SH_XPD_EARN25,,,Y15T28,,,,,,5
2024,SH_XPD_EARN25,,,Y15T28,,,,,,3
2020,SH_XPD_EARN25,,,Y29T62,,,,,,8
2021,SH_XPD_EARN25,,,Y29T62,,,,,,8
2022,SH_XPD_EARN25,,,Y29T62,,,,,,6
2023,SH_XPD_EARN25,,,Y29T62,,,,,,5
2024,SH_XPD_EARN25,,,Y29T62,,,,,,5
2020,SH_XPD_EARN25,,,Y_GE58,,,,,,19
2021,SH_XPD_EARN25,,,Y_GE58,,,,,,21
2022,SH_XPD_EARN25,,,Y_GE58,,,,,,16
2023,SH_XPD_EARN25,,,Y_GE58,,,,,,19
2024,SH_XPD_EARN25,,,Y_GE58,,,,,,13
2020,SH_XPD_EARN25,,,,,,ISCED11_1,,,6
2021,SH_XPD_EARN25,,,,,,ISCED11_1,,,8
2022,SH_XPD_EARN25,,,,,,ISCED11_1,,,6
2023,SH_XPD_EARN25,,,,,,ISCED11_1,,,4
2024,SH_XPD_EARN25,,,,,,ISCED11_1,,,4
2020,SH_XPD_EARN25,,,,,,ISCED11_2,,,15
2021,SH_XPD_EARN25,,,,,,ISCED11_2,,,19
2022,SH_XPD_EARN25,,,,,,ISCED11_2,,,17
2023,SH_XPD_EARN25,,,,,,ISCED11_2,,,11
2024,SH_XPD_EARN25,,,,,,ISCED11_2,,,5
2020,SH_XPD_EARN25,,,,,,ISCED11_3,,,7
2021,SH_XPD_EARN25,,,,,,ISCED11_3,,,8
2022,SH_XPD_EARN25,,,,,,ISCED11_3,,,8
2023,SH_XPD_EARN25,,,,,,ISCED11_3,,,6
2024,SH_XPD_EARN25,,,,,,ISCED11_3,,,5
2020,SH_XPD_EARN25,,,,,,ISCED11_4,,,11
2021,SH_XPD_EARN25,,,,,,ISCED11_4,,,11
2022,SH_XPD_EARN25,,,,,,ISCED11_4,,,9
2023,SH_XPD_EARN25,,,,,,ISCED11_4,,,12
2024,SH_XPD_EARN25,,,,,,ISCED11_4,,,13
2020,SH_XPD_EARN25,,,,,,ISCED11_6_7,,,9
2021,SH_XPD_EARN25,,,,,,ISCED11_6_7,,,6
2022,SH_XPD_EARN25,,,,,,ISCED11_6_7,,,4
2023,SH_XPD_EARN25,,,,,,ISCED11_6_7,,,6
2024,SH_XPD_EARN25,,,,,,ISCED11_6_7,,,3
2020,SH_XPD_EARN25,,,,,Q1,,,,4
2021,SH_XPD_EARN25,,,,,Q1,,,,5
2022,SH_XPD_EARN25,,,,,Q1,,,,4
2023,SH_XPD_EARN25,,,,,Q1,,,,1
2024,SH_XPD_EARN25,,,,,Q1,,,,5
2020,SH_XPD_EARN25,,,,,Q2,,,,4
2021,SH_XPD_EARN25,,,,,Q2,,,,2
2022,SH_XPD_EARN25,,,,,Q2,,,,1
2023,SH_XPD_EARN25,,,,,Q2,,,,7
2024,SH_XPD_EARN25,,,,,Q2,,,,3
2020,SH_XPD_EARN25,,,,,Q3,,,,2
2021,SH_XPD_EARN25,,,,,Q3,,,,4
2022,SH_XPD_EARN25,,,,,Q3,,,,3
2023,SH_XPD_EARN25,,,,,Q3,,,,6
2024,SH_XPD_EARN25,,,,,Q3,,,,4
2020,SH_XPD_EARN25,,,,,Q4,,,,13
2021,SH_XPD_EARN25,,,,,Q4,,,,12
2022,SH_XPD_EARN25,,,,,Q4,,,,19
2023,SH_XPD_EARN25,,,,,Q4,,,,6
2024,SH_XPD_EARN25,,,,,Q4,,,,7
2020,SH_XPD_EARN25,,,,,Q5,,,,19
2021,SH_XPD_EARN25,,,,,Q5,,,,20
2022,SH_XPD_EARN25,,,,,Q5,,,,11
2023,SH_XPD_EARN25,,,,,Q5,,,,11
2024,SH_XPD_EARN25,,,,,Q5,,,,7
2020,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_CHILD,,16
2021,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_CHILD,,12
2022,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_CHILD,,10
2023,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_CHILD,,23
2024,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_CHILD,,14
2020,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_CHILD,,7
2021,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_CHILD,,8
2022,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_CHILD,,7
2023,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_CHILD,,3
2024,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_CHILD,,3
2020,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,8
2021,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,5
2022,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,6
2023,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,4
2024,SH_XPD_EARN25,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,4
2020,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_PERS_WORK,,8
2021,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_PERS_WORK,,14
2022,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_PERS_WORK,,11
2023,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_PERS_WORK,,10
2024,SH_XPD_EARN25,,,,,,,_L_HOUS_WITH_PERS_WORK,,7
2020,SH_XPD_EARN25,,,,,,,_L_HOUS_ONL_PERS_WORK,,70
2021,SH_XPD_EARN25,,,,,,,_L_HOUS_ONL_PERS_WORK,,49
2022,SH_XPD_EARN25,,,,,,,_L_HOUS_ONL_PERS_WORK,,32
2023,SH_XPD_EARN25,,,,,,,_L_HOUS_ONL_PERS_WORK,,57
2024,SH_XPD_EARN25,,,,,,,_L_HOUS_ONL_PERS_WORK,,40
2020,SH_XPD_EARN25,,,,,,,_L_HOUS_POOR,,5
2021,SH_XPD_EARN25,,,,,,,_L_HOUS_POOR,,1
2022,SH_XPD_EARN25,,,,,,,_L_HOUS_POOR,,1
2023,SH_XPD_EARN25,,,,,,,_L_HOUS_POOR,,1
2024,SH_XPD_EARN25,,,,,,,_L_HOUS_POOR,,3
2020,SH_XPD_EARN25,,,,,,,_L_HOUS_EXTR_POOR,,0
