Year,SERIES,Value
2007,_L_KG_010301_1G2,5.968864
2008,_L_KG_010301_1G2,6.611241
2009,_L_KG_010301_1G2,5.109427
2010,_L_KG_010301_1G2,5.204752
2011,_L_KG_010301_1G2,2.488161
2012,_L_KG_010301_1G2,1.394354
2013,_L_KG_010301_1G2,3.120433
2014,_L_KG_010301_1G2,2.594375
2015,_L_KG_010301_1G2,2.198462
2016,_L_KG_010301_1G2,2.327986
2017,_L_KG_010301_1G2,2.172493
2018,_L_KG_010301_1G2,2.163941
2019,_L_KG_010301_1G2,2.259523
2020,_L_KG_010301_1G2,2.4
2021,_L_KG_010301_1G2,3.5
2022,_L_KG_010301_1G2,3.8
2023,_L_KG_010301_1G2,3.7
2024,_L_KG_010301_1G2,3.510383
2007,_L_KG_010301_1G3,59.241298
2008,_L_KG_010301_1G3,61.233202
2009,_L_KG_010301_1G3,48.534186
2010,_L_KG_010301_1G3,49.060743
2011,_L_KG_010301_1G3,22.957535
2012,_L_KG_010301_1G3,12.62552
2013,_L_KG_010301_1G3,28.824314
2014,_L_KG_010301_1G3,24.113102
2015,_L_KG_010301_1G3,20.458403
2016,_L_KG_010301_1G3,21.618658
2017,_L_KG_010301_1G3,20.190277
2018,_L_KG_010301_1G3,19.898854
2019,_L_KG_010301_1G3,20.5
2020,_L_KG_010301_1G3,21.8
2021,_L_KG_010301_1G3,30.8
2022,_L_KG_010301_1G3,33.6
2023,_L_KG_010301_1G3,32.3
2024,_L_KG_010301_1G3,30.207203
