Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2018,,,,,,,48.5
2019,,,,,,,522.0
2020,,,,,,,507.0
2018,,,,U,,,660.0
2019,,,,U,,,636.0
2020,,,,U,,,634.0
2018,,,,R,,,381.0
2019,,,,R,,,455.0
2020,,,,R,,,429.0
2018,,M,,,,,479.0
2019,,M,,,,,533.0
2020,,M,,,,,512.0
2018,,F,,,,,490.0
2019,,F,,,,,513.0
2020,,F,,,,,503.0
2018,KG05,,,,,,329.0
2019,KG05,,,,,,587.0
2020,KG05,,,,,,593.0
2018,KG03,,,,,,183.0
2019,KG03,,,,,,289.0
2020,KG03,,,,,,314.0
2018,KG02,,,,,,725.0
2019,KG02,,,,,,746.0
2020,KG02,,,,,,703.0
2018,KG04,,,,,,393.0
2019,KG04,,,,,,470.0
2020,KG04,,,,,,450.0
2018,KG06,,,,,,396.0
2019,KG06,,,,,,485.0
2020,KG06,,,,,,385.0
2018,KG07,,,,,,422.0
2019,KG07,,,,,,445.0
2020,KG07,,,,,,470.0
2018,KG08,,,,,,631.0
2019,KG08,,,,,,545.0
2020,KG08,,,,,,546.0
2018,KG11,,,,,,677.0
2019,KG11,,,,,,598.0
2020,KG11,,,,,,613.0
2018,KG21,,,,,,946.0
2019,KG21,,,,,,950.0
2020,KG21,,,,,,932.0
2018,,,Y15T28,,,,484.0
2019,,,Y15T28,,,,530.0
2020,,,Y15T28,,,,510.0
2018,,,Y29T62,,,,489.0
2019,,,Y29T62,,,,528.0
2020,,,Y29T62,,,,515.0
2018,,,Y_GE58,,,,481.0
2019,,,Y_GE58,,,,490.0
2020,,,Y_GE58,,,,479.0
2018,,,,,,ISCED11_1,482.0
2019,,,,,,ISCED11_1,515.0
2020,,,,,,ISCED11_1,493.0
2018,,,,,,ISCED11_2,512.0
2019,,,,,,ISCED11_2,527.0
2020,,,,,,ISCED11_2,524.0
2018,,,,,,ISCED11_3,427.0
2019,,,,,,ISCED11_3,487.0
2020,,,,,,ISCED11_3,466.0
2018,,,,,,ISCED11_4,554.0
2019,,,,,,ISCED11_4,553.0
2020,,,,,,ISCED11_4,552.0
2018,,,,,,ISCED11_6_7,560.0
2019,,,,,,ISCED11_6_7,583.0
2020,,,,,,ISCED11_6_7,566.0
2018,,,,,Q1,,374.0
2019,,,,,Q1,,401.0
2018,,,,,Q2,,465.0
2019,,,,,Q2,,508.0
2018,,,,,Q3,,484.0
2019,,,,,Q3,,520.0
2018,,,,,Q4,,511.0
2019,,,,,Q4,,559.0
2018,,,,,Q5,,553.0
2019,,,,,Q5,,582.0
