Year,REF_AREA,Value
2007,,59.0
2008,,55.0
2009,,62.0
2010,,62.0
2011,,55.0
2012,,44.0
2013,,38.0
2014,,35.0
2015,,36.0
2016,,27.0
2017,,2.5
2018,,2.3
2019,,20.0
2020,,21.0
2007,KG05,19.0
2008,KG05,19.0
2009,KG05,21.0
2010,KG05,25.0
2011,KG05,27.0
2012,KG05,24.0
2013,KG05,22.0
2014,KG05,6.0
2015,KG05,8.0
2016,KG05,20.0
2017,KG05,1.6
2018,KG05,1.5
2019,KG05,19.0
2020,KG05,24.0
2007,KG03,17.0
2008,KG03,25.0
2009,KG03,36.0
2010,KG03,50.0
2011,KG03,41.0
2012,KG03,35.0
2013,KG03,40.0
2014,KG03,29.0
2015,KG03,21.0
2016,KG03,20.0
2017,KG03,1.4
2018,KG03,1.7
2019,KG03,14.0
2020,KG03,14.0
2007,KG02,83.0
2008,KG02,71.0
2009,KG02,73.0
2010,KG02,47.0
2011,KG02,78.0
2012,KG02,80.0
2013,KG02,55.0
2014,KG02,69.0
2015,KG02,60.0
2016,KG02,32.0
2017,KG02,3.3
2018,KG02,3.9
2019,KG02,51.0
2020,KG02,32.0
2007,KG04,51.0
2008,KG04,62.0
2009,KG04,62.0
2010,KG04,84.0
2011,KG04,64.0
2012,KG04,64.0
2013,KG04,30.0
2014,KG04,37.0
2015,KG04,72.0
2016,KG04,43.0
2017,KG04,4.2
2018,KG04,2.1
2019,KG04,38.0
2020,KG04,24.0
2007,KG06,27.0
2008,KG06,27.0
2009,KG06,35.0
2010,KG06,38.0
2011,KG06,32.0
2012,KG06,18.0
2013,KG06,18.0
2014,KG06,18.0
2015,KG06,17.0
2016,KG06,18.0
2017,KG06,1.5
2018,KG06,20.0
2019,KG06,11.0
2020,KG06,8.0
2007,KG07,22.0
2008,KG07,67.0
2009,KG07,31.0
2010,KG07,56.0
2011,KG07,43.0
2012,KG07,59.0
2013,KG07,70.0
2014,KG07,53.0
2015,KG07,32.0
2016,KG07,24.0
2017,KG07,1.9
2018,KG07,0.8
2019,KG07,30.0
2020,KG07,22.0
2007,KG08,149.0
2008,KG08,127.0
2009,KG08,139.0
2010,KG08,133.0
2011,KG08,95.0
2012,KG08,92.0
2013,KG08,63.0
2014,KG08,64.0
2015,KG08,72.0
2016,KG08,55.0
2017,KG08,5.5
2018,KG08,3.7
2019,KG08,25.0
2020,KG08,45.0
2007,KG11,81.0
2008,KG11,70.0
2009,KG11,79.0
2010,KG11,64.0
2011,KG11,67.0
2012,KG11,36.0
2013,KG11,25.0
2014,KG11,36.0
2015,KG11,36.0
2016,KG11,26.0
2017,KG11,2.7
2018,KG11,2.3
2019,KG11,12.0
2020,KG11,14.0
2007,KG21,78.0
2008,KG21,31.0
2009,KG21,54.0
2010,KG21,47.0
2011,KG21,55.0
2012,KG21,15.0
2013,KG21,61.0
2014,KG21,19.0
2015,KG21,40.0
2016,KG21,11.0
2017,KG21,1.8
2018,KG21,1.7
2019,KG21,20.0
2020,KG21,32.0
