Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2016,,,,,,,76.7
2017,,,,,,,79.6
2018,,,,,,,75.7
2019,,,,,,,76.1
2016,,,,U,,,86.9
2017,,,,U,,,88.4
2018,,,,U,,,88.6
2019,,,,U,,,90.5
2016,,,,R,,,71.1
2017,,,,R,,,74.8
2018,,,,R,,,68.7
2019,,,,R,,,68.0
2016,,M,,,,,76.1
2017,,M,,,,,79.2
2018,,M,,,,,74.7
2019,,M,,,,,75.1
2016,,F,,,,,77.2
2017,,F,,,,,80.0
2018,,F,,,,,76.6
2019,,F,,,,,76.9
2016,KG05,,,,,,75.8
2017,KG05,,,,,,70.8
2018,KG05,,,,,,71.8
2019,KG05,,,,,,71.6
2016,KG03,,,,,,76.7
2017,KG03,,,,,,74.4
2018,KG03,,,,,,64.4
2019,KG03,,,,,,66.6
2016,KG02,,,,,,47.3
2017,KG02,,,,,,57.5
2018,KG02,,,,,,67.0
2019,KG02,,,,,,66.5
2016,KG04,,,,,,77.4
2017,KG04,,,,,,79.3
2018,KG04,,,,,,79.0
2019,KG04,,,,,,67.0
2016,KG06,,,,,,74.6
2017,KG06,,,,,,79.0
2018,KG06,,,,,,66.6
2019,KG06,,,,,,68.3
2016,KG07,,,,,,73.7
2017,KG07,,,,,,74.1
2018,KG07,,,,,,54.0
2019,KG07,,,,,,52.5
2016,KG08,,,,,,72.3
2017,KG08,,,,,,82.9
2018,KG08,,,,,,88.4
2019,KG08,,,,,,84.9
2016,KG11,,,,,,92.0
2017,KG11,,,,,,95.1
2018,KG11,,,,,,93.9
2019,KG11,,,,,,98.2
2016,KG21,,,,,,100.0
2017,KG21,,,,,,99.4
2018,KG21,,,,,,100.0
2019,KG21,,,,,,99.8
2016,,,Y0T5,,,,75.9
2017,,,Y0T5,,,,77.9
2018,,,Y0T5,,,,75.3
2019,,,Y0T5,,,,75.1
2016,,,Y7T14,,,,76.3
2017,,,Y7T14,,,,78.4
2018,,,Y7T14,,,,75.8
2019,,,Y7T14,,,,75.1
2016,,,Y15T28,,,,77.1
2017,,,Y15T28,,,,81.3
2018,,,Y15T28,,,,74.3
2019,,,Y15T28,,,,75.9
2016,,,Y29T62,,,,76.8
2017,,,Y29T62,,,,79.6
2018,,,Y29T62,,,,76.5
2019,,,Y29T62,,,,77.4
2016,,,Y_GE58,,,,76.8
2017,,,Y_GE58,,,,80.9
2018,,,Y_GE58,,,,75.8
2019,,,Y_GE58,,,,74.9
2016,,,,,,ISCED11_1,75.2
2017,,,,,,ISCED11_1,78.3
2018,,,,,,ISCED11_1,75.1
2019,,,,,,ISCED11_1,75.1
2016,,,,,,ISCED11_2,80.2
2017,,,,,,ISCED11_2,79.0
2018,,,,,,ISCED11_2,76.5
2019,,,,,,ISCED11_2,77.3
2016,,,,,,ISCED11_3,75.0
2017,,,,,,ISCED11_3,78.4
2018,,,,,,ISCED11_3,72.1
2019,,,,,,ISCED11_3,74.1
2016,,,,,,ISCED11_4,78.4
2017,,,,,,ISCED11_4,83.9
2018,,,,,,ISCED11_4,80.2
2019,,,,,,ISCED11_4,79.0
2016,,,,,,ISCED11_6_7,79.9
2017,,,,,,ISCED11_6_7,83.9
2018,,,,,,ISCED11_6_7,82.1
2019,,,,,,ISCED11_6_7,81.4
2016,,,,,Q1,,72.5
2017,,,,,Q1,,79.3
2018,,,,,Q1,,74.7
2019,,,,,Q1,,71.6
2016,,,,,Q2,,77.3
2017,,,,,Q2,,81.9
2018,,,,,Q2,,74.8
2019,,,,,Q2,,73.0
2016,,,,,Q3,,77.7
2017,,,,,Q3,,79.4
2018,,,,,Q3,,75.4
2019,,,,,Q3,,79.8
2016,,,,,Q4,,78.2
2017,,,,,Q4,,78.7
2018,,,,,Q4,,75.5
2019,,,,,Q4,,78.6
2016,,,,,Q5,,77.7
2017,,,,,Q5,,78.6
2018,,,,,Q5,,78.0
2019,,,,,Q5,,77.2
