Year,concept.REF_AREA,concept.SEX,Value
2017,CL_AREA.KG07,CL_SEX.M,81.6
2018,CL_AREA.KG07,CL_SEX.M,72.71735699999999
2019,CL_AREA.KG07,CL_SEX.M,67.81783100000001
2007,CL_AREA.KG08,,158.506191
2008,CL_AREA.KG08,,166.836568
2009,CL_AREA.KG08,,155.18168899999998
2010,CL_AREA.KG08,,154.517607
2011,CL_AREA.KG08,,158.53919199999999
2012,CL_AREA.KG08,,156.78039099999998
2013,CL_AREA.KG08,,144.320612
2014,CL_AREA.KG08,,129.231041
2015,CL_AREA.KG08,,141.654663
2016,CL_AREA.KG08,,135.218207
2017,CL_AREA.KG08,,136.2
2018,CL_AREA.KG08,,124.217601
2019,CL_AREA.KG08,,119.19929199999999
2007,CL_AREA.KG08,CL_SEX.F,125.927217
2008,CL_AREA.KG08,CL_SEX.F,125.534299
2009,CL_AREA.KG08,CL_SEX.F,117.922225
2010,CL_AREA.KG08,CL_SEX.F,125.0
2011,CL_AREA.KG08,CL_SEX.F,112.21888200000001
2012,CL_AREA.KG08,CL_SEX.F,111.42140500000001
2013,CL_AREA.KG08,CL_SEX.F,108.3
2014,CL_AREA.KG08,CL_SEX.F,108.3
2015,CL_AREA.KG08,CL_SEX.F,118.6
2016,CL_AREA.KG08,CL_SEX.F,111.0
2017,CL_AREA.KG08,CL_SEX.F,108.3
2018,CL_AREA.KG08,CL_SEX.F,99.197956
2019,CL_AREA.KG08,CL_SEX.F,93.08631899999999
2007,CL_AREA.KG08,CL_SEX.M,191.988363
2008,CL_AREA.KG08,CL_SEX.M,209.227296
2009,CL_AREA.KG08,CL_SEX.M,193.791585
2010,CL_AREA.KG08,CL_SEX.M,185.1
2011,CL_AREA.KG08,CL_SEX.M,206.421677
2012,CL_AREA.KG08,CL_SEX.M,203.602691
2013,CL_AREA.KG08,CL_SEX.M,181.5
2014,CL_AREA.KG08,CL_SEX.M,150.8
2015,CL_AREA.KG08,CL_SEX.M,165.4
2016,CL_AREA.KG08,CL_SEX.M,160.2
2017,CL_AREA.KG08,CL_SEX.M,165.0
2018,CL_AREA.KG08,CL_SEX.M,150.009376
2019,CL_AREA.KG08,CL_SEX.M,146.103584
2007,CL_AREA.KG11,,174.387607
2008,CL_AREA.KG11,,123.075571
2009,CL_AREA.KG11,,114.473037
2010,CL_AREA.KG11,,113.11275800000001
2011,CL_AREA.KG11,,114.984154
2012,CL_AREA.KG11,,123.691851
2013,CL_AREA.KG11,,126.393198
