Year,COMPOSITE_BREAKDOWN,Value
2021,_L_DON_EBRD,583.71
2022,_L_DON_EBRD,1388.0
2023,_L_DON_EBRD,2426.8
2024,_L_DON_EBRD,722.2
2013,_L_DON_GDB,755.4
2014,_L_DON_GDB,1469.2
2015,_L_DON_GDB,1008.7
2016,_L_DON_GDB,397.0
2017,_L_DON_GDB,757.2
2018,_L_DON_GDB,500.0
2019,_L_DON_GDB,460.76
2020,_L_DON_GDB,530.53
2021,_L_DON_GDB,945.23
2022,_L_DON_GDB,728.2
2023,_L_DON_GDB,1073.4
2024,_L_DON_GDB,182.9
2013,_L_DON_OTH,223.3
2014,_L_DON_OTH,712.5
2015,_L_DON_OTH,2940.1
2016,_L_DON_OTH,988.9
2017,_L_DON_OTH,1430.0
2018,_L_DON_OTH,3321.8
2019,_L_DON_OTH,2903.78
2020,_L_DON_OTH,3995.01
2021,_L_DON_OTH,3655.83
2022,_L_DON_OTH,5665.5
2023,_L_DON_OTH,4444.5
2024,_L_DON_OTH,3827.4
