Year,REF_AREA,Value
2007,,0.102468
2008,,0.657422
2009,,0.037073
2010,,0.234561
2011,,0.328649
2012,,0.297902
2013,,0.062089
2014,,0.113728
2015,,0.532092
2016,,0.21124
2017,,0.193675
2018,,0.21
2019,,0.052302
2007,KG05,0.358951
2008,KG05,2.126272
2009,KG05,0.403899
2010,KG05,0.333138
2011,KG05,4.307812
2012,KG05,1.956574
2013,KG05,0.02969
2014,KG05,0.25113
2015,KG05,3.438047
2016,KG05,2.2105
2017,KG05,0.753563
2018,KG05,1.04
2019,KG05,0.113897
2007,KG03,0.412118
2008,KG03,0.136994
2009,KG03,0.015857
2010,KG03,1.154719
2011,KG03,0.453264
2012,KG03,1.016425
2013,KG03,0.101309
2014,KG03,0.072479
2015,KG03,0.172868
2016,KG03,0.441517
2017,KG03,0.196222
2018,KG03,0.11
2019,KG03,0.23463
2007,KG02,0.003239
2008,KG02,0.003293
2009,KG02,0.034457
2010,KG02,0.001692
2011,KG02,0.012271
2012,KG02,0.112102
2013,KG02,0.148306
2014,KG02,0.685858
2015,KG02,0.015296
2016,KG02,0.169567
2017,KG02,0.130728
2018,KG02,0.11
2019,KG02,0.013155
2007,KG04,0.009569
2008,KG04,0.035207
2009,KG04,0.008456
2010,KG04,1.65095
2011,KG04,1.592461
2012,KG04,1.562362
2013,KG04,0.741692
2014,KG04,0.037976
2015,KG04,0.214395
2016,KG04,0.157299
2017,KG04,0.091702
2018,KG04,0.01
2007,KG06,0.042933
2008,KG06,5.639406
2009,KG06,0.057255
2010,KG06,0.198522
2011,KG06,0.369869
2012,KG06,0.17834
2013,KG06,0.010609
2014,KG06,0.00357
2015,KG06,4.302561
2016,KG06,0.049422
2017,KG06,0.702855
2018,KG06,0.03
2019,KG06,0.005898
2007,KG07,0.210978
2008,KG07,0.051951
2009,KG07,0.405354
2010,KG07,0.29974
2011,KG07,0.045177
2012,KG07,0.518047
2013,KG07,0.05949
2014,KG07,0.008098
2015,KG07,0.061365
2016,KG07,0.517318
2017,KG07,0.092032
2018,KG07,0.0
2007,KG08,0.035582
2010,KG08,0.005701
2011,KG08,0.01326
2012,KG08,0.004035
2013,KG08,0.029168
2014,KG08,0.033948
2015,KG08,0.033197
2016,KG08,0.118862
2017,KG08,0.234678
2018,KG08,0.01
2019,KG08,0.00233
2007,KG11,0.063779
2008,KG11,0.060758
2013,KG11,0.00051
2015,KG11,0.028178
2016,KG11,0.047988
2017,KG11,0.006461
2018,KG11,0.37
2019,KG11,0.046929
2007,KG21,0.01574
2008,KG21,0.003371
2012,KG21,0.006958
2013,KG21,0.034602
2015,KG21,0.61872
2016,KG21,0.001192
2017,KG21,0.202023
2019,KG21,0.001168
