Year,COMPOSITE_BREAKDOWN,Value
2013,_L_SPC_MAMM,14.3
2014,_L_SPC_MAMM,15.4
2015,_L_SPC_MAMM,12.1
2016,_L_SPC_MAMM,14.3
2017,_L_SPC_MAMM,9.9
2019,_L_SPC_MAMM,4.4
2013,_L_SPC_BIRD,2.0
2014,_L_SPC_BIRD,3.7
2015,_L_SPC_BIRD,3.7
2016,_L_SPC_BIRD,2.2
2017,_L_SPC_BIRD,2.7
2019,_L_SPC_BIRD,1.72
2013,_L_SPC_AMPH_REP,8.7
2014,_L_SPC_AMPH_REP,0.0
2015,_L_SPC_AMPH_REP,2.2
2016,_L_SPC_AMPH_REP,2.2
2017,_L_SPC_AMPH_REP,0.0
