Year,Series,concept.REF_AREA,Units,Value
2019,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,24.0
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,3.642403
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.8812740000000003
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.4907220000000003
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.1135770000000003
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.090243
2019,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.416952
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,10.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,8.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,7.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,6.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,6.0
2019,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,7.0
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.302565
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.825895
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.087358
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,0.8371219999999999
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.3414190000000001
2019,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,0.950255
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,16.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,23.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,14.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,11.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,18.0
2019,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,13.0
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.235906
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,0.0
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.527337
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.247449
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,0.759209
2019,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,1.870138
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,8.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,0.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,9.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,11.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,2.0
2019,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,5.0
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,9.996335
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,9.803071000000001
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,8.396102
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,8.136891
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,6.587803999999999
2019,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,3.646274
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,87.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,87.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,76.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,75.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,62.0
2019,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,35.0
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,6.934398
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,6.260036
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,4.080096
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,6.086937
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,4.672692
2019,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,3.605604
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,65.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,60.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,40.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,61.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,48.0
2019,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,38.0
