Year,REF_AREA,SEX,AGE,Value
2010,,,,8.6
2013,,,,8.3
2014,,,,8.0
2015,,,,7.6
2016,,,,7.2
2017,,,,6.9
2018,,,,6.2
2019,,,,5.5
2010,,M,,9.9
2013,,M,,9.7
2014,,M,,9.5
2015,,M,,9.0
2016,,M,,8.7
2017,,M,,8.9
2018,,M,,6.9
2019,,M,,6.2
2010,,F,,7.7
2013,,F,,7.4
2014,,F,,7.0
2015,,F,,6.5
2016,,F,,6.2
2017,,F,,5.6
2018,,F,,5.7
2019,,F,,5.0
2010,KG05,,,10.6
2013,KG05,,,12.7
2014,KG05,,,12.6
2015,KG05,,,10.9
2016,KG05,,,10.2
2017,KG05,,,9.9
2018,KG05,,,9.0
2019,KG05,,,8.2
2010,KG05,M,,15.8
2013,KG05,M,,18.4
2014,KG05,M,,18.7
2015,KG05,M,,16.5
2016,KG05,M,,15.3
2017,KG05,M,,16.0
2018,KG05,M,,12.2
2019,KG05,M,,11.5
2010,KG05,F,,7.2
2013,KG05,F,,9.8
2014,KG05,F,,9.6
2015,KG05,F,,7.6
2016,KG05,F,,7.1
2017,KG05,F,,6.3
2018,KG05,F,,7.3
2019,KG05,F,,6.7
2010,KG03,,,7.8
2013,KG03,,,8.2
2014,KG03,,,7.6
2015,KG03,,,7.7
2016,KG03,,,7.5
2017,KG03,,,7.2
2018,KG03,,,6.2
2019,KG03,,,5.5
2010,KG03,M,,8.9
2013,KG03,M,,10.3
2014,KG03,M,,10.0
2015,KG03,M,,9.9
2016,KG03,M,,10.3
2017,KG03,M,,10.5
2018,KG03,M,,9.1
2019,KG03,M,,7.9
2010,KG03,F,,7.1
2013,KG03,F,,6.7
2014,KG03,F,,6.0
2015,KG03,F,,6.1
2016,KG03,F,,5.8
2017,KG03,F,,5.3
2018,KG03,F,,4.7
2019,KG03,F,,4.2
2010,KG02,,,10.2
2013,KG02,,,9.5
2014,KG02,,,9.3
2015,KG02,,,9.1
2016,KG02,,,8.9
2017,KG02,,,8.7
2018,KG02,,,8.4
2019,KG02,,,7.8
2010,KG02,M,,10.1
2013,KG02,M,,9.4
2014,KG02,M,,10.1
2015,KG02,M,,9.6
2016,KG02,M,,8.5
2017,KG02,M,,8.0
2018,KG02,M,,4.9
2019,KG02,M,,4.9
2010,KG02,F,,10.3
2013,KG02,F,,9.5
2014,KG02,F,,8.7
2015,KG02,F,,8.7
2016,KG02,F,,9.1
2017,KG02,F,,9.0
2018,KG02,F,,10.2
2019,KG02,F,,9.4
2010,KG04,,,10.3
2013,KG04,,,9.1
2014,KG04,,,9.7
2015,KG04,,,9.3
2016,KG04,,,9.0
2017,KG04,,,8.8
2018,KG04,,,8.8
2019,KG04,,,8.3
2010,KG04,M,,14.7
2013,KG04,M,,14.2
2014,KG04,M,,15.4
2015,KG04,M,,13.7
2016,KG04,M,,14.6
2017,KG04,M,,12.3
2018,KG04,M,,15.0
2019,KG04,M,,11.1
2010,KG04,F,,8.2
2013,KG04,F,,6.8
2014,KG04,F,,7.4
2015,KG04,F,,7.6
2016,KG04,F,,6.6
2017,KG04,F,,7.1
2018,KG04,F,,6.2
2019,KG04,F,,7.1
2010,KG06,,,6.61
2013,KG06,,,6.3
2014,KG06,,,6.6
2015,KG06,,,6.0
2016,KG06,,,5.5
2017,KG06,,,5.1
2018,KG06,,,4.2
2019,KG06,,,3.5
2010,KG06,M,,7.8
2013,KG06,M,,7.4
2014,KG06,M,,7.3
2015,KG06,M,,7.7
2016,KG06,M,,7.1
2017,KG06,M,,7.7
2018,KG06,M,,6.6
2019,KG06,M,,4.3
2010,KG06,F,,5.9
2013,KG06,F,,5.6
2014,KG06,F,,6.0
2015,KG06,F,,4.8
2016,KG06,F,,4.4
2017,KG06,F,,3.5
2018,KG06,F,,2.7
2019,KG06,F,,3.0
2010,KG07,,,5.1
2013,KG07,,,3.7
2014,KG07,,,3.9
2015,KG07,,,3.3
2016,KG07,,,2.8
2017,KG07,,,2.5
2018,KG07,,,2.5
2019,KG07,,,2.5
2010,KG07,M,,5.2
2013,KG07,M,,4.8
2014,KG07,M,,6.5
2015,KG07,M,,5.6
2016,KG07,M,,5.0
2017,KG07,M,,4.6
2018,KG07,M,,3.6
2019,KG07,M,,3.6
2010,KG07,F,,4.9
2013,KG07,F,,2.8
2014,KG07,F,,1.7
2015,KG07,F,,1.3
2016,KG07,F,,1.2
2017,KG07,F,,0.9
2018,KG07,F,,1.7
2019,KG07,F,,1.8
2010,KG08,,,10.2
2013,KG08,,,9.8
2014,KG08,,,8.9
2015,KG08,,,8.6
2016,KG08,,,8.4
2017,KG08,,,8.1
2018,KG08,,,7.3
2019,KG08,,,6.6
2010,KG08,M,,11.4
2013,KG08,M,,10.8
2014,KG08,M,,9.6
2015,KG08,M,,8.2
2016,KG08,M,,8.9
2017,KG08,M,,9.1
2018,KG08,M,,7.4
2019,KG08,M,,7.4
2010,KG08,F,,9.3
2013,KG08,F,,9.1
2014,KG08,F,,8.4
2015,KG08,F,,8.9
2016,KG08,F,,8.0
2017,KG08,F,,7.4
2018,KG08,F,,7.3
2019,KG08,F,,6.1
2010,KG11,,,10.0
2013,KG11,,,9.4
2014,KG11,,,8.9
2015,KG11,,,8.1
2016,KG11,,,7.7
2017,KG11,,,7.3
2018,KG11,,,6.7
2019,KG11,,,5.9
2010,KG11,M,,10.6
2013,KG11,M,,9.7
2014,KG11,M,,9.5
2015,KG11,M,,8.4
2016,KG11,M,,7.6
2017,KG11,M,,7.9
2018,KG11,M,,5.0
2019,KG11,M,,5.5
2010,KG11,F,,9.5
2013,KG11,F,,9.3
2014,KG11,F,,8.4
2015,KG11,F,,7.7
2016,KG11,F,,7.8
2017,KG11,F,,6.7
2018,KG11,F,,8.2
2019,KG11,F,,6.2
2013,KG21,,,4.6
2014,KG21,,,4.2
2015,KG21,,,3.9
2016,KG21,,,3.6
2017,KG21,,,3.5
2018,KG21,,,3.0
2019,KG21,,,2.5
2013,KG21,M,,3.8
2014,KG21,M,,5.2
2015,KG21,M,,5.6
2016,KG21,M,,6.3
2017,KG21,M,,4.5
2018,KG21,M,,3.5
2019,KG21,M,,4.4
2013,KG21,F,,5.0
2014,KG21,F,,3.8
2015,KG21,F,,3.1
2016,KG21,F,,2.5
2017,KG21,F,,3.0
2018,KG21,F,,2.7
2019,KG21,F,,1.5
2010,,,Y15T19,19.1
2013,,,Y15T19,16.2
2014,,,Y15T19,17.7
2015,,,Y15T19,17.3
2016,,,Y15T19,19.9
2017,,,Y15T19,18.3
2018,,,Y15T19,13.9
2019,,,Y15T19,13.9
2010,,,Y20T29,12.4
2013,,,Y20T29,10.4
2014,,,Y20T29,10.2
2015,,,Y20T29,10.5
2016,,,Y20T29,10.4
2017,,,Y20T29,10.2
2018,,,Y20T29,9.5
2019,,,Y20T29,9.3
2010,,,Y30T39,6.2
2013,,,Y30T39,7.2
2014,,,Y30T39,6.7
2015,,,Y30T39,6.2
2016,,,Y30T39,5.9
2017,,,Y30T39,5.4
2018,,,Y30T39,4.6
2019,,,Y30T39,4.0
2010,,,Y40T49,5.9
2013,,,Y40T49,6.4
2014,,,Y40T49,6.7
2015,,,Y40T49,5.8
2016,,,Y40T49,5.3
2017,,,Y40T49,5.3
2018,,,Y40T49,4.3
2019,,,Y40T49,3.6
2010,,,Y50T59,4.8
2013,,,Y50T59,6.1
2014,,,Y50T59,5.1
2015,,,Y50T59,4.2
2016,,,Y50T59,3.5
2017,,,Y50T59,3.8
2018,,,Y50T59,4.2
2019,,,Y50T59,3.1
2010,,,Y60T69,2.3
2013,,,Y60T69,3.2
2014,,,Y60T69,2.6
2015,,,Y60T69,2.8
2016,,,Y60T69,1.3
2017,,,Y60T69,1.6
2018,,,Y60T69,2.7
2019,,,Y60T69,1.1
2010,,,Y_GE70,0.6
2013,,,Y_GE70,1.6
2014,,,Y_GE70,2.8
2015,,,Y_GE70,1.4
2016,,,Y_GE70,0.9
2017,,,Y_GE70,0.3
