Year,REF_AREA,Value
2007,,0.13
2008,,0.09
2009,,0.29
2010,,0.28
2011,,0.01
2012,,0.28
2013,,0.34
2014,,0.07
2015,,0.06
2016,,0.21
2017,,0.31
2018,,0.28
2019,,0.0
2007,KG05,0.0
2008,KG05,0.27
2009,KG05,0.0
2010,KG05,0.21
2011,KG05,0.0
2012,KG05,0.0
2013,KG05,0.0
2014,KG05,0.0
2015,KG05,0.34
2016,KG05,0.32
2017,KG05,1.08
2018,KG05,0.45
2019,KG05,0.0
2007,KG03,0.2
2008,KG03,0.0
2009,KG03,0.0
2010,KG03,0.22
2011,KG03,0.0
2012,KG03,0.61
2013,KG03,0.0
2014,KG03,0.0
2015,KG03,0.0
2016,KG03,0.0
2017,KG03,0.0
2018,KG03,0.0
2019,KG03,0.0
2007,KG02,0.05
2008,KG02,0.34
2009,KG02,0.58
2010,KG02,0.11
2011,KG02,0.0
2012,KG02,0.0
2013,KG02,0.0
2014,KG02,0.0
2015,KG02,0.0
2016,KG02,0.0
2017,KG02,0.0
2018,KG02,0.89
2019,KG02,0.0
2007,KG04,0.13
2008,KG04,0.63
2009,KG04,0.03
2010,KG04,3.46
2011,KG04,0.31
2012,KG04,0.0
2013,KG04,0.84
2014,KG04,0.2
2015,KG04,0.74
2016,KG04,0.7
2017,KG04,0.66
2018,KG04,1.7
2019,KG04,0.0
2007,KG06,0.33
2008,KG06,0.03
2009,KG06,0.0
2010,KG06,0.09
2011,KG06,0.0
2012,KG06,0.0
2013,KG06,0.0
2014,KG06,0.0
2015,KG06,0.0
2016,KG06,0.0
2017,KG06,0.0
2018,KG06,0.0
2019,KG06,0.0
2007,KG07,0.0
2008,KG07,0.0
2009,KG07,0.0
2010,KG07,0.0
2011,KG07,0.0
2012,KG07,0.0
2013,KG07,0.0
2014,KG07,0.0
2015,KG07,0.0
2016,KG07,0.0
2017,KG07,0.0
2018,KG07,0.0
2019,KG07,0.0
2007,KG08,0.0
2008,KG08,0.0
2009,KG08,1.35
2010,KG08,0.16
2011,KG08,0.0
2012,KG08,1.09
2013,KG08,0.36
2014,KG08,0.42
2015,KG08,0.0
2016,KG08,1.01
2017,KG08,1.27
2018,KG08,0.32
2019,KG08,0.0
2007,KG11,0.0
2008,KG11,0.02
2009,KG11,0.27
2010,KG11,0.0
2011,KG11,0.0
2012,KG11,0.03
2013,KG11,1.55
2014,KG11,0.0
2015,KG11,0.0
2016,KG11,0.0
2017,KG11,0.0
2018,KG11,0.33
2019,KG11,0.0
2012,KG21,0.0
2013,KG21,0.0
2014,KG21,0.0
2015,KG21,0.0
2016,KG21,0.0
2017,KG21,0.0
2018,KG21,0.0
2019,KG21,0.0
