Year,COMPOSITE_BREAKDOWN,Value
2010,,576.9
2011,,587.5
2012,,526.0
2013,,561.9
2014,,665.9
2015,,810.1
2016,,934.5
2017,,921.5
2018,,962.4
2019,,798.7
2010,_L_EEX_POL,39.2
2011,_L_EEX_POL,41.2
2012,_L_EEX_POL,28.2
2013,_L_EEX_POL,22.4
2014,_L_EEX_POL,56.2
2015,_L_EEX_POL,71.5
2016,_L_EEX_POL,60.4
2017,_L_EEX_POL,52.7
2018,_L_EEX_POL,64.1
2019,_L_EEX_POL,72.2
2010,_L_EEX_NATRES,69.1
2011,_L_EEX_NATRES,68.5
2012,_L_EEX_NATRES,73.2
2013,_L_EEX_NATRES,80.9
2014,_L_EEX_NATRES,93.3
2015,_L_EEX_NATRES,114.1
2016,_L_EEX_NATRES,145.8
2017,_L_EEX_NATRES,131.7
2018,_L_EEX_NATRES,136.5
2019,_L_EEX_NATRES,136.9
2010,_L_EEX_PROTAN,3.6
2011,_L_EEX_PROTAN,6.8
2012,_L_EEX_PROTAN,4.9
2013,_L_EEX_PROTAN,6.5
2014,_L_EEX_PROTAN,8.4
2015,_L_EEX_PROTAN,9.4
2016,_L_EEX_PROTAN,10.4
2017,_L_EEX_PROTAN,9.8
2018,_L_EEX_PROTAN,10.4
2019,_L_EEX_PROTAN,12.3
2010,_L_EEX_PROTTPLN,1.4
2011,_L_EEX_PROTTPLN,1.3
2012,_L_EEX_PROTTPLN,1.3
2013,_L_EEX_PROTTPLN,1.2
2014,_L_EEX_PROTTPLN,1.6
2015,_L_EEX_PROTTPLN,1.5
2016,_L_EEX_PROTTPLN,1.5
2010,_L_EEX_EPIS,29.6
2011,_L_EEX_EPIS,36.4
2012,_L_EEX_EPIS,26.6
2013,_L_EEX_EPIS,63.2
2014,_L_EEX_EPIS,61.2
2015,_L_EEX_EPIS,46.6
2016,_L_EEX_EPIS,109.3
2017,_L_EEX_EPIS,105.6
2018,_L_EEX_EPIS,153.6
2019,_L_EEX_EPIS,64.7
2010,_L_EEX_VET,190.9
2011,_L_EEX_VET,190.1
2012,_L_EEX_VET,158.7
2013,_L_EEX_VET,90.9
2014,_L_EEX_VET,109.3
2015,_L_EEX_VET,107.2
2016,_L_EEX_VET,150.8
2017,_L_EEX_VET,134.6
2018,_L_EEX_VET,245.1
2019,_L_EEX_VET,169.4
2010,_L_EEX_CHARPLN,72.3
2011,_L_EEX_CHARPLN,50.0
2012,_L_EEX_CHARPLN,29.3
2013,_L_EEX_CHARPLN,43.9
2014,_L_EEX_CHARPLN,42.5
2015,_L_EEX_CHARPLN,60.1
2016,_L_EEX_CHARPLN,88.8
2017,_L_EEX_CHARPLN,85.9
2018,_L_EEX_CHARPLN,132.2
2019,_L_EEX_CHARPLN,131.5
2010,_L_EEX_OTHER_BIO,150.6
2011,_L_EEX_OTHER_BIO,175.6
2012,_L_EEX_OTHER_BIO,189.3
2013,_L_EEX_OTHER_BIO,235.6
2014,_L_EEX_OTHER_BIO,277.1
2015,_L_EEX_OTHER_BIO,392.6
2016,_L_EEX_OTHER_BIO,358.6
2017,_L_EEX_OTHER_BIO,231.4
2018,_L_EEX_OTHER_BIO,212.8
2019,_L_EEX_OTHER_BIO,197.7
2010,_L_EEX_RD,2.9
2011,_L_EEX_RD,4.3
2012,_L_EEX_RD,4.6
2013,_L_EEX_RD,6.2
2014,_L_EEX_RD,6.7
2015,_L_EEX_RD,7.1
2016,_L_EEX_RD,6.3
2017,_L_EEX_RD,6.3
2019,_L_EEX_RD,1.8
2010,_L_EEX_NES,11.0
2011,_L_EEX_NES,11.2
2012,_L_EEX_NES,9.8
2013,_L_EEX_NES,11.2
2014,_L_EEX_NES,9.6
2017,_L_EEX_NES,163.5
2010,_L_EEX_OTHER,6.3
2011,_L_EEX_OTHER,2.2
2016,_L_EEX_OTHER,2.6
2018,_L_EEX_OTHER,7.7
2019,_L_EEX_OTHER,12.2
