Year,SERIES,Value
2007-A1,SG_GEN_PARL,25.6
2008-A1,SG_GEN_PARL,25.6
2009-A1,SG_GEN_PARL,25.6
2010-A1,SG_GEN_PARL,23.5
2011-A1,SG_GEN_PARL,20.8
2012-A1,SG_GEN_PARL,20.8
2013-A1,SG_GEN_PARL,22.5
2014-A1,SG_GEN_PARL,21.7
2015-A1,SG_GEN_PARL,21.7
2016-A1,SG_GEN_PARL,15.8
2017-A1,SG_GEN_PARL,16.7
2018-A1,SG_GEN_PARL,15.8
2019-A1,SG_GEN_PARL,16.7
2020-A1,SG_GEN_PARL,16.7
2021-A1,SG_GEN_PARL,20.5
2016-A1,SG_GEN_LOCG,15.61
2017-A1,SG_GEN_LOCG,15.09
2018-A1,SG_GEN_LOCG,14.96
2019-A1,SG_GEN_LOCG,15.16
2020-A1,SG_GEN_LOCG,14.98
2021-A1,SG_GEN_LOCG,31.55
2022-A1,SG_GEN_LOCG,36.46
