Year,Value
2010,1.6
2011,1.4
2012,1.4
2013,1.4
2014,1.5
2015,1.5
2016,1.5
2017,1.7
2018,1.6
2019,1.5
2020,2.9
2021,3.0
2022,1.5
2023,1.8
