Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2017,_L_KG_060401_2A,KG07,M_M3_PER_YR,KG07,300.7
2018,_L_KG_060401_2A,KG07,M_M3_PER_YR,KG07,299.1
2019,_L_KG_060401_2A,KG07,M_M3_PER_YR,KG07,322.3
2020,_L_KG_060401_2A,KG07,M_M3_PER_YR,KG07,294.9
2021,_L_KG_060401_2A,KG07,M_M3_PER_YR,KG07,302.9
2022,_L_KG_060401_2A,KG07,M_M3_PER_YR,KG07,321.1
2010,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,627.5
2011,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,717.2
2012,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,836.3
2013,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,774.1
2014,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,764.2
2015,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,856.3
2016,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,614.8
2017,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,804.6
2018,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,786.3
2019,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,818.9
2020,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,802.5
2021,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,786.0
2022,_L_KG_060401_2A,KG08,M_M3_PER_YR,KG08,923.0
2010,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,24.7
2011,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,25.0
2013,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,24.2
2014,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,24.9
2015,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,23.9
2016,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,23.8
2017,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,24.6
2018,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,25.3
2019,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,25.8
2020,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,28.1
2021,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,27.7
2022,_L_KG_060401_2A,KG11,M_M3_PER_YR,KG11,35.4
2017,_L_KG_060401_2A,KG21,M_M3_PER_YR,KG21,6.8
2018,_L_KG_060401_2A,KG21,M_M3_PER_YR,KG21,6.8
2019,_L_KG_060401_2A,KG21,M_M3_PER_YR,KG21,6.8
2020,_L_KG_060401_2A,KG21,M_M3_PER_YR,KG21,6.8
2021,_L_KG_060401_2A,KG21,M_M3_PER_YR,KG21,6.8
2010,_L_KG_060401_2B,,PT,,23.4
2011,_L_KG_060401_2B,,PT,,21.7
2012,_L_KG_060401_2B,,PT,,21.7
2013,_L_KG_060401_2B,,PT,,22.5
2014,_L_KG_060401_2B,,PT,,26.5
2015,_L_KG_060401_2B,,PT,,27.6
2016,_L_KG_060401_2B,,PT,,25.1
2017,_L_KG_060401_2B,,PT,,27.8
2018,_L_KG_060401_2B,,PT,,26.9
2019,_L_KG_060401_2B,,PT,,27.8
2020,_L_KG_060401_2B,,PT,,27.4
2021,_L_KG_060401_2B,,PT,,26.9
2022,_L_KG_060401_2B,,PT,,27.3
2010,_L_KG_060401_2B,KG05,PT,KG05,20.1
2011,_L_KG_060401_2B,KG05,PT,KG05,20.2
2012,_L_KG_060401_2B,KG05,PT,KG05,9.6
2013,_L_KG_060401_2B,KG05,PT,KG05,9.6
2014,_L_KG_060401_2B,KG05,PT,KG05,0.7
2015,_L_KG_060401_2B,KG05,PT,KG05,17.8
2016,_L_KG_060401_2B,KG05,PT,KG05,17.7
2017,_L_KG_060401_2B,KG05,PT,KG05,16.7
2018,_L_KG_060401_2B,KG05,PT,KG05,15.6
2019,_L_KG_060401_2B,KG05,PT,KG05,15.8
2020,_L_KG_060401_2B,KG05,PT,KG05,17.5
2021,_L_KG_060401_2B,KG05,PT,KG05,15.9
2022,_L_KG_060401_2B,KG05,PT,KG05,15.1
2010,_L_KG_060401_2B,KG03,PT,KG03,27.3
2011,_L_KG_060401_2B,KG03,PT,KG03,18.3
