Year,SEX,AGE,URBANISATION,ACTIVITY,Value
2019,,,,ISIC4_P,13.2
2015,,,,ISIC4_Q,13.310295
2016,,,,ISIC4_Q,11.612557
2017,,,,ISIC4_Q,15.172329
2018,,,,ISIC4_Q,12.026034
2019,,,,ISIC4_Q,10.9
2015,,,,ISIC4_R,24.880928
2016,,,,ISIC4_R,22.865184
2017,,,,ISIC4_R,13.457395
2018,,,,ISIC4_R,9.968181
2019,,,,ISIC4_R,13.3
2015,,,,ISIC4_S,14.316551
2016,,,,ISIC4_S,10.525974
2017,,,,ISIC4_S,9.650244
2018,,,,ISIC4_S,9.121616
2019,,,,ISIC4_S,6.8
2015,,,,ISIC4_T,23.958709
2016,,,,ISIC4_T,46.915523
2017,,,,ISIC4_T,31.481607
2018,,,,ISIC4_T,23.380874
2019,,,,ISIC4_T,18.3
2017,,,,ISIC4_U,15.599786
