Year,Series,Value
2007,CL_SERIES._L_KG_010301_1G1,313220.0
2008,CL_SERIES._L_KG_010301_1G1,349682.0
2009,CL_SERIES._L_KG_010301_1G1,274008.0
2010,CL_SERIES._L_KG_010301_1G1,282009.0
2011,CL_SERIES._L_KG_010301_1G1,136292.0
2012,CL_SERIES._L_KG_010301_1G1,77413.0
2013,CL_SERIES._L_KG_010301_1G1,180254.0
2014,CL_SERIES._L_KG_010301_1G1,152940.0
2015,CL_SERIES._L_KG_010301_1G1,132336.0
2016,CL_SERIES._L_KG_010301_1G1,142943.0
2017,CL_SERIES._L_KG_010301_1G1,135927.0
2018,CL_SERIES._L_KG_010301_1G1,138265.0
2019,CL_SERIES._L_KG_010301_1G1,147363.0
2007,CL_SERIES._L_KG_010301_1G2,5.968864
2008,CL_SERIES._L_KG_010301_1G2,6.611241000000001
2009,CL_SERIES._L_KG_010301_1G2,5.109426999999999
2010,CL_SERIES._L_KG_010301_1G2,5.204752
2011,CL_SERIES._L_KG_010301_1G2,2.488161
2012,CL_SERIES._L_KG_010301_1G2,1.394354
2013,CL_SERIES._L_KG_010301_1G2,3.1204330000000002
2014,CL_SERIES._L_KG_010301_1G2,2.594375
2015,CL_SERIES._L_KG_010301_1G2,2.1984619999999997
2016,CL_SERIES._L_KG_010301_1G2,2.327986
2017,CL_SERIES._L_KG_010301_1G2,2.1724930000000002
2018,CL_SERIES._L_KG_010301_1G2,2.163941
2019,CL_SERIES._L_KG_010301_1G2,2.259523
2007,CL_SERIES._L_KG_010301_1G3,59.241298
2008,CL_SERIES._L_KG_010301_1G3,61.233202
2009,CL_SERIES._L_KG_010301_1G3,48.534186
2010,CL_SERIES._L_KG_010301_1G3,49.060743
2011,CL_SERIES._L_KG_010301_1G3,22.957535
2012,CL_SERIES._L_KG_010301_1G3,12.62552
2013,CL_SERIES._L_KG_010301_1G3,28.824314
2014,CL_SERIES._L_KG_010301_1G3,24.113101999999998
2015,CL_SERIES._L_KG_010301_1G3,20.458403
2016,CL_SERIES._L_KG_010301_1G3,21.618658
2017,CL_SERIES._L_KG_010301_1G3,20.190277
2018,CL_SERIES._L_KG_010301_1G3,19.898854
2019,CL_SERIES._L_KG_010301_1G3,20.5
