Year,concept.REF_AREA,Value
2007,,29.5
2008,,30.1
2009,,31.2
2010,,34.1
2011,,41.4
2012,,42.1
2013,,41.9
2014,,43.3
2015,,42.3
2016,,38.1
2017,,33.9
2018,,35.9
2019,,37.7
2007,CL_AREA.KG05,25.4
2008,CL_AREA.KG05,27.2
2009,CL_AREA.KG05,30.6
2010,CL_AREA.KG05,36.1
2011,CL_AREA.KG05,40.2
2012,CL_AREA.KG05,44.6
2013,CL_AREA.KG05,43.2
2014,CL_AREA.KG05,43.3
2015,CL_AREA.KG05,38.4
2016,CL_AREA.KG05,36.5
2017,CL_AREA.KG05,31.2
2018,CL_AREA.KG05,30.2
2019,CL_AREA.KG05,35.7
2007,CL_AREA.KG03,30.1
2008,CL_AREA.KG03,33.0
2009,CL_AREA.KG03,36.8
2010,CL_AREA.KG03,38.8
2011,CL_AREA.KG03,47.6
2012,CL_AREA.KG03,45.3
2013,CL_AREA.KG03,44.8
2014,CL_AREA.KG03,47.7
2015,CL_AREA.KG03,53.5
2016,CL_AREA.KG03,39.3
2017,CL_AREA.KG03,34.7
2018,CL_AREA.KG03,36.2
2019,CL_AREA.KG03,38.0
2007,CL_AREA.KG02,27.5
2008,CL_AREA.KG02,27.7
2009,CL_AREA.KG02,30.0
2010,CL_AREA.KG02,30.2
2011,CL_AREA.KG02,31.8
2012,CL_AREA.KG02,31.8
2013,CL_AREA.KG02,31.0
2014,CL_AREA.KG02,31.8
2015,CL_AREA.KG02,45.4
2016,CL_AREA.KG02,32.8
2017,CL_AREA.KG02,25.5
2018,CL_AREA.KG02,28.8
2019,CL_AREA.KG02,25.3
2007,CL_AREA.KG04,27.1
2008,CL_AREA.KG04,23.1
2009,CL_AREA.KG04,30.4
2010,CL_AREA.KG04,29.7
2011,CL_AREA.KG04,34.3
2012,CL_AREA.KG04,33.0
2013,CL_AREA.KG04,27.7
2014,CL_AREA.KG04,29.2
2015,CL_AREA.KG04,30.3
2016,CL_AREA.KG04,29.1
2017,CL_AREA.KG04,20.2
2018,CL_AREA.KG04,22.7
2019,CL_AREA.KG04,20.8
2007,CL_AREA.KG06,27.1
2008,CL_AREA.KG06,27.1
2009,CL_AREA.KG06,30.4
2010,CL_AREA.KG06,33.0
2011,CL_AREA.KG06,43.2
2012,CL_AREA.KG06,44.0
2013,CL_AREA.KG06,43.4
2014,CL_AREA.KG06,45.8
2015,CL_AREA.KG06,72.3
2016,CL_AREA.KG06,41.6
2017,CL_AREA.KG06,38.5
2018,CL_AREA.KG06,35.2
2019,CL_AREA.KG06,37.9
2007,CL_AREA.KG07,39.9
2008,CL_AREA.KG07,38.9
2009,CL_AREA.KG07,46.4
2010,CL_AREA.KG07,48.5
2011,CL_AREA.KG07,59.3
2012,CL_AREA.KG07,58.8
2013,CL_AREA.KG07,61.0
2014,CL_AREA.KG07,58.2
2015,CL_AREA.KG07,36.4
2016,CL_AREA.KG07,41.9
2017,CL_AREA.KG07,34.9
2018,CL_AREA.KG07,37.1
2019,CL_AREA.KG07,34.1
2007,CL_AREA.KG08,38.4
2008,CL_AREA.KG08,40.1
2009,CL_AREA.KG08,39.3
2010,CL_AREA.KG08,44.0
2011,CL_AREA.KG08,49.1
2012,CL_AREA.KG08,50.3
2013,CL_AREA.KG08,52.0
2014,CL_AREA.KG08,50.8
2015,CL_AREA.KG08,59.7
2016,CL_AREA.KG08,47.8
2017,CL_AREA.KG08,46.4
2018,CL_AREA.KG08,52.1
2019,CL_AREA.KG08,51.0
2007,CL_AREA.KG11,25.9
2008,CL_AREA.KG11,24.8
2009,CL_AREA.KG11,17.9
2010,CL_AREA.KG11,20.4
2011,CL_AREA.KG11,25.3
2012,CL_AREA.KG11,26.0
2013,CL_AREA.KG11,26.6
2014,CL_AREA.KG11,26.5
2015,CL_AREA.KG11,22.1
2016,CL_AREA.KG11,21.4
2017,CL_AREA.KG11,17.4
2018,CL_AREA.KG11,24.3
2019,CL_AREA.KG11,28.9
2007,CL_AREA.KG21,24.2
2008,CL_AREA.KG21,26.0
2009,CL_AREA.KG21,23.9
2010,CL_AREA.KG21,27.0
2011,CL_AREA.KG21,36.1
2012,CL_AREA.KG21,43.9
2013,CL_AREA.KG21,46.7
2014,CL_AREA.KG21,54.9
2015,CL_AREA.KG21,52.8
2016,CL_AREA.KG21,52.6
2017,CL_AREA.KG21,51.6
2018,CL_AREA.KG21,65.0
2019,CL_AREA.KG21,77.0
