Year,concept.REF_AREA,Value
2010,,2.2
2011,,2.2
2012,,2.1
2013,,1.9
2014,,1.8
2015,,1.7
2016,,1.8
2017,,1.7
2018,,1.7
2019,,1.5
2010,CL_AREA.KG05,0.4
2011,CL_AREA.KG05,0.4
2012,CL_AREA.KG05,0.3
2013,CL_AREA.KG05,0.3
2014,CL_AREA.KG05,0.3
2015,CL_AREA.KG05,0.1
2016,CL_AREA.KG05,0.1
2017,CL_AREA.KG05,0.1
2018,CL_AREA.KG05,0.2
2019,CL_AREA.KG05,0.2
2010,CL_AREA.KG03,1.1
2011,CL_AREA.KG03,1.1
2012,CL_AREA.KG03,1.1
2013,CL_AREA.KG03,0.9
2014,CL_AREA.KG03,0.8
2015,CL_AREA.KG03,0.8
2016,CL_AREA.KG03,0.9
2017,CL_AREA.KG03,0.9
2018,CL_AREA.KG03,0.9
2019,CL_AREA.KG03,0.8
2010,CL_AREA.KG02,2.7
2011,CL_AREA.KG02,2.7
2012,CL_AREA.KG02,2.4
2013,CL_AREA.KG02,2.2
2014,CL_AREA.KG02,1.4
2015,CL_AREA.KG02,1.3
2016,CL_AREA.KG02,1.4
2017,CL_AREA.KG02,0.4
2018,CL_AREA.KG02,0.4
2019,CL_AREA.KG02,0.4
2010,CL_AREA.KG04,1.5
2011,CL_AREA.KG04,1.5
2012,CL_AREA.KG04,1.5
2013,CL_AREA.KG04,1.5
2014,CL_AREA.KG04,1.4
2015,CL_AREA.KG04,1.5
2016,CL_AREA.KG04,1.6
2017,CL_AREA.KG04,1.7
2018,CL_AREA.KG04,1.9
2019,CL_AREA.KG04,1.9
2010,CL_AREA.KG06,0.3
2011,CL_AREA.KG06,0.3
2012,CL_AREA.KG06,0.3
2013,CL_AREA.KG06,0.3
2014,CL_AREA.KG06,0.3
2015,CL_AREA.KG06,0.3
2016,CL_AREA.KG06,0.4
2017,CL_AREA.KG06,0.4
2018,CL_AREA.KG06,0.5
2019,CL_AREA.KG06,0.5
2010,CL_AREA.KG07,0.7
2011,CL_AREA.KG07,0.8
2012,CL_AREA.KG07,0.8
2013,CL_AREA.KG07,0.5
2014,CL_AREA.KG07,0.8
2015,CL_AREA.KG07,0.8
2016,CL_AREA.KG07,0.8
2017,CL_AREA.KG07,0.8
2018,CL_AREA.KG07,0.8
2019,CL_AREA.KG07,0.7
2010,CL_AREA.KG08,3.0
2011,CL_AREA.KG08,3.0
2012,CL_AREA.KG08,2.8
2013,CL_AREA.KG08,2.3
2014,CL_AREA.KG08,2.2
2015,CL_AREA.KG08,2.1
2016,CL_AREA.KG08,2.1
2017,CL_AREA.KG08,2.1
2018,CL_AREA.KG08,2.1
2019,CL_AREA.KG08,2.0
2010,CL_AREA.KG11,5.5
2011,CL_AREA.KG11,5.4
2012,CL_AREA.KG11,5.3
2013,CL_AREA.KG11,5.2
2014,CL_AREA.KG11,5.3
2015,CL_AREA.KG11,5.1
2016,CL_AREA.KG11,5.1
2017,CL_AREA.KG11,5.0
2018,CL_AREA.KG11,4.7
2019,CL_AREA.KG11,4.7
2010,CL_AREA.KG21,4.1
2011,CL_AREA.KG21,4.2
2012,CL_AREA.KG21,4.1
2013,CL_AREA.KG21,4.0
2014,CL_AREA.KG21,3.8
2015,CL_AREA.KG21,3.6
2016,CL_AREA.KG21,3.6
2017,CL_AREA.KG21,3.5
2018,CL_AREA.KG21,3.6
2019,CL_AREA.KG21,0.3
