Year,Value
2010,214.643352
2011,223.172865
2012,183.173589
2013,214.906582
2014,178.260402
2015,195.243858
2016,170.944426
2017,165.143944
2018,171.426688
2019,185.057972
2020,185.91275
2021,191.023629
