Year,REF_AREA,SEX,GeoCode,Value
2007,,,,92
2008,,,,89
2009,,,,85
2010,,,,92
2011,,,,85
2012,,,,93
2013,,,,78
2014,,,,79
2015,,,,70
2016,,,,69
2017,,,,63
2018,,,,60
2019,,,,58
2020,,,,46
2021,,,,58
2022,,,,49
2023,,,,48
2007,,M,,142
2008,,M,,144
2009,,M,,136
2010,,M,,147
2011,,M,,133
2012,,M,,145
2013,,M,,123
2014,,M,,124
2015,,M,,111
2016,,M,,110
2017,,M,,102
2018,,M,,97
2019,,M,,94
2020,,M,,71
2021,,M,,88
2022,,M,,81
2023,,M,,78
2007,,F,,43
2008,,F,,35
2009,,F,,35
2010,,F,,38
2011,,F,,39
2012,,F,,43
2013,,F,,34
2014,,F,,35
2015,,F,,30
2016,,F,,29
2017,,F,,25
2018,,F,,24
2019,,F,,23
2020,,F,,21
2021,,F,,28
2022,,F,,18
2023,,F,,19
2007,KG05,,KG05,66
2008,KG05,,KG05,85
2009,KG05,,KG05,74
2010,KG05,,KG05,64
2011,KG05,,KG05,85
2012,KG05,,KG05,97
2013,KG05,,KG05,69
2014,KG05,,KG05,61
2015,KG05,,KG05,82
2016,KG05,,KG05,58
2017,KG05,,KG05,61
2018,KG05,,KG05,75
2019,KG05,,KG05,68
2020,KG05,,KG05,42
2021,KG05,,KG05,47
2022,KG05,,KG05,34
2023,KG05,,KG05,57
2007,KG05,M,KG05,93
2008,KG05,M,KG05,134
2009,KG05,M,KG05,91
2010,KG05,M,KG05,76
2011,KG05,M,KG05,133
2012,KG05,M,KG05,143
2013,KG05,M,KG05,102
2014,KG05,M,KG05,83
2015,KG05,M,KG05,109
2016,KG05,M,KG05,95
2017,KG05,M,KG05,89
2018,KG05,M,KG05,98
2019,KG05,M,KG05,96
2020,KG05,M,KG05,58
2021,KG05,M,KG05,43
2022,KG05,M,KG05,42
2023,KG05,M,KG05,93
2007,KG05,F,KG05,39
2008,KG05,F,KG05,34
2009,KG05,F,KG05,57
2010,KG05,F,KG05,51
2011,KG05,F,KG05,37
2012,KG05,F,KG05,49
2013,KG05,F,KG05,35
2014,KG05,F,KG05,39
2015,KG05,F,KG05,54
2016,KG05,F,KG05,20
2017,KG05,F,KG05,32
2018,KG05,F,KG05,51
2019,KG05,F,KG05,38
2020,KG05,F,KG05,26
2021,KG05,F,KG05,52
2022,KG05,F,KG05,25
2023,KG05,F,KG05,21
2007,KG03,,KG03,57
2008,KG03,,KG03,47
2009,KG03,,KG03,24
2010,KG03,,KG03,15
2011,KG03,,KG03,23
2012,KG03,,KG03,38
2013,KG03,,KG03,28
2014,KG03,,KG03,39
2015,KG03,,KG03,27
