Year,SERIES,SEX,Value
2012,_L_KG_160701_1A,,30
2013,_L_KG_160701_1A,,49
2014,_L_KG_160701_1A,,31
2015,_L_KG_160701_1A,,44
2016,_L_KG_160701_1A,,45
2017,_L_KG_160701_1A,,16
2018,_L_KG_160701_1A,,13
2019,_L_KG_160701_1A,,12
2012,_L_KG_160701_1A,M,39
2013,_L_KG_160701_1A,M,61
2014,_L_KG_160701_1A,M,57
2015,_L_KG_160701_1A,M,57
2016,_L_KG_160701_1A,M,59
2017,_L_KG_160701_1A,M,23
2018,_L_KG_160701_1A,M,20
2019,_L_KG_160701_1A,M,17
2012,_L_KG_160701_1A,F,16
2013,_L_KG_160701_1A,F,31
2014,_L_KG_160701_1A,F,26
2015,_L_KG_160701_1A,F,25
2016,_L_KG_160701_1A,F,26
2017,_L_KG_160701_1A,F,5
2018,_L_KG_160701_1A,F,4
2019,_L_KG_160701_1A,F,4
2012,_L_KG_160701_1B,,24
2013,_L_KG_160701_1B,,13
2014,_L_KG_160701_1B,,9
2015,_L_KG_160701_1B,,22
2016,_L_KG_160701_1B,,26
2017,_L_KG_160701_1B,,27
2018,_L_KG_160701_1B,,26
2019,_L_KG_160701_1B,,33
2012,_L_KG_160701_1B,M,27
2013,_L_KG_160701_1B,M,16
2014,_L_KG_160701_1B,M,22
2015,_L_KG_160701_1B,M,26
2016,_L_KG_160701_1B,M,28
2017,_L_KG_160701_1B,M,28
2018,_L_KG_160701_1B,M,27
2019,_L_KG_160701_1B,M,39
2012,_L_KG_160701_1B,F,20
2013,_L_KG_160701_1B,F,9
2014,_L_KG_160701_1B,F,17
2015,_L_KG_160701_1B,F,17
2016,_L_KG_160701_1B,F,23
2017,_L_KG_160701_1B,F,24
2018,_L_KG_160701_1B,F,25
2019,_L_KG_160701_1B,F,25
2012,_L_KG_160701_1C,,946
2013,_L_KG_160701_1C,,938
2014,_L_KG_160701_1C,,960
2015,_L_KG_160701_1C,,934
2016,_L_KG_160701_1C,,928
2017,_L_KG_160701_1C,,958
2018,_L_KG_160701_1C,,961
2019,_L_KG_160701_1C,,955
2012,_L_KG_160701_1C,M,933
2013,_L_KG_160701_1C,M,923
2014,_L_KG_160701_1C,M,922
2015,_L_KG_160701_1C,M,917
2016,_L_KG_160701_1C,M,913
2017,_L_KG_160701_1C,M,948
2018,_L_KG_160701_1C,M,954
2019,_L_KG_160701_1C,M,944
2012,_L_KG_160701_1C,F,964
2013,_L_KG_160701_1C,F,960
2014,_L_KG_160701_1C,F,957
2015,_L_KG_160701_1C,F,958
2016,_L_KG_160701_1C,F,951
2017,_L_KG_160701_1C,F,971
2018,_L_KG_160701_1C,F,972
2019,_L_KG_160701_1C,F,972
