Year,REF_AREA,SEX,GeoCode,Value
2007,,,,93
2008,,,,281
2009,,,,71
2010,,,,158
2011,,,,140
2012,,,,99
2013,,,,95
2014,,,,62
2015,,,,53
2016,,,,47
2017,,,,141
2018,,,,18
2019,,,,17
2007,,M,,74
2008,,M,,184
2009,,M,,48
2010,,M,,106
2011,,M,,93
2012,,M,,65
2013,,M,,62
2014,,M,,39
2015,,M,,33
2016,,M,,37
2017,,M,,85
2018,,M,,14
2019,,M,,8
2007,,F,,19
2008,,F,,97
2009,,F,,23
2010,,F,,52
2011,,F,,47
2012,,F,,34
2013,,F,,33
2014,,F,,23
2015,,F,,20
2016,,F,,10
2017,,F,,56
2018,,F,,4
2019,,F,,9
2007,KG05,,KG05,8
2008,KG05,,KG05,9
2010,KG05,,KG05,15
2011,KG05,,KG05,7
2012,KG05,,KG05,9
2013,KG05,,KG05,3
2014,KG05,,KG05,3
2015,KG05,,KG05,1
2016,KG05,,KG05,9
2019,KG05,,KG05,6
2007,KG05,M,KG05,6
2008,KG05,M,KG05,9
2010,KG05,M,KG05,11
2011,KG05,M,KG05,4
2012,KG05,M,KG05,7
2013,KG05,M,KG05,3
2014,KG05,M,KG05,3
2015,KG05,M,KG05,1
2016,KG05,M,KG05,7
2019,KG05,M,KG05,4
2007,KG05,F,KG05,2
2010,KG05,F,KG05,4
2011,KG05,F,KG05,3
2012,KG05,F,KG05,2
2016,KG05,F,KG05,2
2019,KG05,F,KG05,2
2007,KG03,,KG03,5
2008,KG03,,KG03,25
2009,KG03,,KG03,39
2010,KG03,,KG03,32
2011,KG03,,KG03,35
2012,KG03,,KG03,33
2013,KG03,,KG03,31
2014,KG03,,KG03,17
2015,KG03,,KG03,11
2016,KG03,,KG03,13
2017,KG03,,KG03,43
2018,KG03,,KG03,4
2007,KG03,M,KG03,5
2008,KG03,M,KG03,18
2009,KG03,M,KG03,27
2010,KG03,M,KG03,21
2011,KG03,M,KG03,27
2012,KG03,M,KG03,17
2013,KG03,M,KG03,22
2014,KG03,M,KG03,11
2015,KG03,M,KG03,5
2016,KG03,M,KG03,9
2017,KG03,M,KG03,29
2018,KG03,M,KG03,4
2008,KG03,F,KG03,7
2009,KG03,F,KG03,12
2010,KG03,F,KG03,11
2011,KG03,F,KG03,8
2012,KG03,F,KG03,16
2013,KG03,F,KG03,9
2014,KG03,F,KG03,6
2015,KG03,F,KG03,6
2016,KG03,F,KG03,4
2017,KG03,F,KG03,14
2007,KG02,,KG02,14
2008,KG02,,KG02,42
2009,KG02,,KG02,11
2010,KG02,,KG02,15
2011,KG02,,KG02,17
2012,KG02,,KG02,4
2013,KG02,,KG02,21
2014,KG02,,KG02,25
2015,KG02,,KG02,6
2016,KG02,,KG02,2
2017,KG02,,KG02,6
2018,KG02,,KG02,2
2019,KG02,,KG02,5
2007,KG02,M,KG02,10
2008,KG02,M,KG02,26
2009,KG02,M,KG02,7
2010,KG02,M,KG02,10
2011,KG02,M,KG02,9
2012,KG02,M,KG02,4
2013,KG02,M,KG02,13
2014,KG02,M,KG02,16
2015,KG02,M,KG02,5
2016,KG02,M,KG02,1
2017,KG02,M,KG02,6
2018,KG02,M,KG02,1
2019,KG02,M,KG02,2
2007,KG02,F,KG02,4
2008,KG02,F,KG02,16
2009,KG02,F,KG02,4
2010,KG02,F,KG02,5
2011,KG02,F,KG02,8
2013,KG02,F,KG02,8
2014,KG02,F,KG02,9
2015,KG02,F,KG02,1
2016,KG02,F,KG02,1
2018,KG02,F,KG02,1
2019,KG02,F,KG02,3
2007,KG04,,KG04,5
2008,KG04,,KG04,6
2010,KG04,,KG04,7
2012,KG04,,KG04,5
2013,KG04,,KG04,8
2014,KG04,,KG04,2
2015,KG04,,KG04,9
2016,KG04,,KG04,1
2017,KG04,,KG04,2
2007,KG04,M,KG04,4
2008,KG04,M,KG04,4
2010,KG04,M,KG04,4
2012,KG04,M,KG04,4
2013,KG04,M,KG04,5
2014,KG04,M,KG04,2
2015,KG04,M,KG04,6
2016,KG04,M,KG04,1
2017,KG04,M,KG04,2
2007,KG04,F,KG04,1
2008,KG04,F,KG04,2
2010,KG04,F,KG04,3
2012,KG04,F,KG04,1
2013,KG04,F,KG04,3
2015,KG04,F,KG04,3
2007,KG06,,KG06,6
2008,KG06,,KG06,96
2009,KG06,,KG06,2
2010,KG06,,KG06,19
2011,KG06,,KG06,11
2012,KG06,,KG06,22
2013,KG06,,KG06,5
2015,KG06,,KG06,10
2016,KG06,,KG06,1
2017,KG06,,KG06,35
2018,KG06,,KG06,1
2007,KG06,M,KG06,6
2008,KG06,M,KG06,50
2009,KG06,M,KG06,2
2010,KG06,M,KG06,12
2011,KG06,M,KG06,6
2012,KG06,M,KG06,16
2013,KG06,M,KG06,3
2015,KG06,M,KG06,7
2016,KG06,M,KG06,1
2017,KG06,M,KG06,17
2018,KG06,M,KG06,1
2008,KG06,F,KG06,46
2010,KG06,F,KG06,7
2011,KG06,F,KG06,5
2012,KG06,F,KG06,6
2013,KG06,F,KG06,2
2015,KG06,F,KG06,3
2017,KG06,F,KG06,18
2007,KG07,,KG07,1
2010,KG07,,KG07,4
2011,KG07,,KG07,6
2013,KG07,,KG07,5
2007,KG07,M,KG07,1
2010,KG07,M,KG07,3
2011,KG07,M,KG07,4
2013,KG07,M,KG07,4
2010,KG07,F,KG07,1
2011,KG07,F,KG07,2
2013,KG07,F,KG07,1
2007,KG08,,KG08,35
2008,KG08,,KG08,102
2009,KG08,,KG08,19
2010,KG08,,KG08,46
2011,KG08,,KG08,41
2012,KG08,,KG08,23
2013,KG08,,KG08,22
2014,KG08,,KG08,13
2015,KG08,,KG08,15
2016,KG08,,KG08,14
2017,KG08,,KG08,55
2018,KG08,,KG08,10
2019,KG08,,KG08,6
2007,KG08,M,KG08,28
2008,KG08,M,KG08,76
2009,KG08,M,KG08,12
2010,KG08,M,KG08,32
2011,KG08,M,KG08,30
2012,KG08,M,KG08,15
2013,KG08,M,KG08,12
2014,KG08,M,KG08,7
2015,KG08,M,KG08,8
2016,KG08,M,KG08,11
2017,KG08,M,KG08,31
2018,KG08,M,KG08,7
2019,KG08,M,KG08,2
2007,KG08,F,KG08,7
2008,KG08,F,KG08,26
2009,KG08,F,KG08,7
2010,KG08,F,KG08,14
2011,KG08,F,KG08,11
2012,KG08,F,KG08,8
2013,KG08,F,KG08,10
2014,KG08,F,KG08,6
2015,KG08,F,KG08,7
2016,KG08,F,KG08,3
2017,KG08,F,KG08,24
2018,KG08,F,KG08,3
2019,KG08,F,KG08,4
2007,KG11,,KG11,12
