Year,REF_AREA,Value
2011,,25.4
2012,,26.9
2013,,28.0
2014,,28.1
2015,,28.6
2016,,30.2
2017,,31.3
2018,,31.5
2019,,31.5
2011,KG05,3.0
2012,KG05,3.7
2013,KG05,4.8
2014,KG05,5.2
2015,KG05,6.7
2016,KG05,6.3
2017,KG05,12.0
2018,KG05,9.1
2019,KG05,5.9
2011,KG03,8.8
2012,KG03,11.7
2013,KG03,5.5
2014,KG03,5.6
2015,KG03,5.6
2016,KG03,8.3
2017,KG03,14.4
2018,KG03,9.0
2019,KG03,6.2
2011,KG02,15.4
2012,KG02,18.8
2013,KG02,25.1
2014,KG02,24.2
2015,KG02,27.1
2016,KG02,30.0
2017,KG02,38.7
2018,KG02,41.4
2019,KG02,30.5
2011,KG04,5.6
2012,KG04,6.3
2013,KG04,12.5
2014,KG04,14.2
2015,KG04,13.7
2016,KG04,17.0
2017,KG04,17.8
2018,KG04,20.4
2019,KG04,21.8
2011,KG06,8.3
2012,KG06,7.8
2013,KG06,0.2
2014,KG06,0.7
2015,KG06,0.5
2016,KG06,0.4
2017,KG06,0.0
2018,KG06,0.5
2019,KG06,1.7
2011,KG07,9.0
2012,KG07,7.8
2013,KG07,5.1
2014,KG07,5.5
2015,KG07,6.5
2016,KG07,6.5
2017,KG07,6.1
2018,KG07,6.0
2019,KG07,6.2
2011,KG08,41.9
2012,KG08,46.1
2013,KG08,46.2
2014,KG08,49.2
2015,KG08,48.7
2016,KG08,51.0
2017,KG08,48.9
2018,KG08,56.8
2019,KG08,63.3
2011,KG11,84.6
2012,KG11,85.1
2013,KG11,98.6
2014,KG11,99.4
2015,KG11,98.6
2016,KG11,99.7
2017,KG11,97.4
2018,KG11,96.5
2019,KG11,96.1
2013,KG21,28.7
2014,KG21,27.9
2015,KG21,28.2
2016,KG21,29.5
2017,KG21,25.4
2018,KG21,25.5
2019,KG21,30.9
