Year,REF_AREA,URBANISATION,Value
2018,,,99.7
2018,,U,99.8
2018,,R,99.6
2018,KG05,,99.7
2018,KG03,,99.4
2018,KG02,,100.0
2018,KG04,,99.7
2018,KG06,,99.8
2018,KG07,,100.0
2018,KG08,,99.5
2018,KG11,,99.9
2018,KG21,,99.5
