Year,REF_AREA,Value
2007,,4.3
2008,,4.0
2009,,3.2
2010,,2.5
2011,,3.2
2012,,2.8
2013,,1.8
2014,,1.7
2015,,1.9
2016,,1.3
2017,,1.2
2018,,0.8
2019,,0.9
2007,KG05,11.4
2008,KG05,11.5
2009,KG05,8.1
2010,KG05,7.8
2011,KG05,11.0
2012,KG05,5.3
2013,KG05,6.7
2014,KG05,7.6
2015,KG05,5.3
2016,KG05,3.6
2017,KG05,3.1
2018,KG05,1.5
2019,KG05,2.1
2007,KG03,4.1
2008,KG03,3.5
2009,KG03,3.5
2010,KG03,2.8
2011,KG03,2.4
2012,KG03,2.3
2013,KG03,1.5
2014,KG03,1.4
2015,KG03,2.2
2016,KG03,0.9
2017,KG03,1.3
2018,KG03,0.7
2019,KG03,0.4
2007,KG02,3.5
2008,KG02,3.0
2009,KG02,1.1
2010,KG02,0.9
2011,KG02,2.9
2012,KG02,1.8
2013,KG02,0.9
2014,KG02,0.9
2015,KG02,1.1
2016,KG02,0.6
2017,KG02,0.6
2018,KG02,0.6
2019,KG02,0.6
2007,KG04,5.1
2008,KG04,3.1
2009,KG04,3.1
2010,KG04,3.1
2011,KG04,4.2
2012,KG04,2.6
2013,KG04,1.5
2014,KG04,1.5
2015,KG04,2.2
2016,KG04,0.7
2017,KG04,1.4
2018,KG04,1.1
2019,KG04,1.4
2007,KG06,6.2
2008,KG06,6.9
2009,KG06,5.4
2010,KG06,3.2
2011,KG06,3.4
2012,KG06,5.3
2013,KG06,2.2
2014,KG06,2.2
2015,KG06,2.6
2016,KG06,2.2
2017,KG06,1.6
2018,KG06,1.5
2019,KG06,1.3
2007,KG07,4.9
2008,KG07,2.7
2009,KG07,4.4
2010,KG07,1.7
2011,KG07,4.7
2012,KG07,2.5
2013,KG07,0.8
2014,KG07,1.2
2015,KG07,2.4
2016,KG07,2.4
2017,KG07,0.4
2018,KG07,0.8
2019,KG07,0.4
2007,KG08,2.0
2008,KG08,1.6
2009,KG08,1.5
2010,KG08,1.0
2011,KG08,2.0
2012,KG08,2.2
2013,KG08,1.2
2014,KG08,0.6
2015,KG08,0.8
2016,KG08,0.7
2017,KG08,0.8
2018,KG08,0.1
2019,KG08,0.7
2007,KG11,1.5
2008,KG11,1.2
2009,KG11,0.5
2010,KG11,0.8
2011,KG11,1.3
2012,KG11,0.8
2013,KG11,0.8
2014,KG11,0.4
2015,KG11,0.8
2016,KG11,0.6
2017,KG11,0.6
2018,KG11,0.4
2019,KG11,0.7
2007,KG21,0.4
2008,KG21,0.8
2009,KG21,1.5
2010,KG21,1.6
2011,KG21,1.2
2012,KG21,0.8
2013,KG21,1.1
2014,KG21,1.1
2015,KG21,0.4
2016,KG21,0.4
2017,KG21,0.7
2018,KG21,0.7
2019,KG21,0.7
