Year,Reference area,Degree of urbanisation,GeoCode,Value
2011,,,,92.4
2012,,,,93.2
2013,,,,89.6
2014,,,,88.9
2015,,,,89.1
2016,,,,89.9
2017,,,,91.1
2018,,,,91.8
2019,,,,94.060699
2020,,,,94.1
2021,,,,95.134712
2011,,Urban,,99.7
2012,,Urban,,99.8
2013,,Urban,,99.5
2014,,Urban,,99.1
2015,,Urban,,99.1
2016,,Urban,,99.3
2017,,Urban,,93.9
2018,,Urban,,99.3
2019,,Urban,,99.422592
2020,,Urban,,99.6
2021,,Urban,,99.705542
2011,,Rural,,88.0
2012,,Rural,,89.4
2013,,Rural,,84.4
2014,,Rural,,83.3
2015,,Rural,,83.7
2016,,Rural,,84.9
2017,,Rural,,86.7
2018,,Rural,,87.8
2019,,Rural,,91.081092
2020,,Rural,,91.0
2021,,Rural,,92.425193
2011,Batken,,KG05,69.7
2012,Batken,,KG05,70.0
2013,Batken,,KG05,73.1
2014,Batken,,KG05,74.3
2015,Batken,,KG05,73.3
2016,Batken,,KG05,74.1
2017,Batken,,KG05,79.0
2018,Batken,,KG05,83.6
2019,Batken,,KG05,81.026395
2020,Batken,,KG05,86.886173
2021,Batken,,KG05,88.209991
2011,Jalal-Abad,,KG03,95.4
2012,Jalal-Abad,,KG03,96.0
2013,Jalal-Abad,,KG03,91.6
2014,Jalal-Abad,,KG03,89.5
2015,Jalal-Abad,,KG03,87.7
2016,Jalal-Abad,,KG03,87.3
2017,Jalal-Abad,,KG03,91.2
2018,Jalal-Abad,,KG03,86.4
2019,Jalal-Abad,,KG03,88.71095
2020,Jalal-Abad,,KG03,86.95579
2021,Jalal-Abad,,KG03,92.225039
2011,Issyk-Kul,,KG02,99.0
2012,Issyk-Kul,,KG02,99.0
2013,Issyk-Kul,,KG02,93.7
2014,Issyk-Kul,,KG02,96.8
2015,Issyk-Kul,,KG02,96.4
2016,Issyk-Kul,,KG02,97.3
2017,Issyk-Kul,,KG02,97.0
2018,Issyk-Kul,,KG02,96.0
2019,Issyk-Kul,,KG02,96.284686
2020,Issyk-Kul,,KG02,96.291951
2021,Issyk-Kul,,KG02,96.801032
2011,Naryn,,KG04,89.2
2012,Naryn,,KG04,89.1
2013,Naryn,,KG04,86.8
2014,Naryn,,KG04,84.4
2015,Naryn,,KG04,90.3
2016,Naryn,,KG04,95.9
2017,Naryn,,KG04,95.8
2018,Naryn,,KG04,96.3
2019,Naryn,,KG04,96.816529
2020,Naryn,,KG04,97.84978
2021,Naryn,,KG04,97.660491
2011,Osh,,KG06,86.4
2012,Osh,,KG06,88.7
2013,Osh,,KG06,73.7
2014,Osh,,KG06,72.9
2015,Osh,,KG06,74.5
2016,Osh,,KG06,76.4
2017,Osh,,KG06,77.3
2018,Osh,,KG06,83.2
2019,Osh,,KG06,92.436112
2020,Osh,,KG06,90.676703
2021,Osh,,KG06,90.232629
2011,Talas,,KG07,96.5
2012,Talas,,KG07,97.6
2013,Talas,,KG07,99.7
2014,Talas,,KG07,99.7
2015,Talas,,KG07,99.2
2016,Talas,,KG07,100.0
2017,Talas,,KG07,99.4
2018,Talas,,KG07,99.4
2019,Talas,,KG07,99.291966
2020,Talas,,KG07,99.675929
2021,Talas,,KG07,99.653994
2011,Chui,,KG08,99.6
2012,Chui,,KG08,99.8
2013,Chui,,KG08,100.0
2014,Chui,,KG08,100.0
2015,Chui,,KG08,100.0
2016,Chui,,KG08,100.0
2017,Chui,,KG08,100.0
2018,Chui,,KG08,100.0
2019,Chui,,KG08,100.0
2020,Chui,,KG08,100.0
2021,Chui,,KG08,100.0
2011,Bishkek (city),,KG11,100.0
2012,Bishkek (city),,KG11,100.0
2013,Bishkek (city),,KG11,99.8
2014,Bishkek (city),,KG11,99.8
2015,Bishkek (city),,KG11,100.0
2016,Bishkek (city),,KG11,100.0
2017,Bishkek (city),,KG11,100.0
2018,Bishkek (city),,KG11,100.0
2019,Bishkek (city),,KG11,100.0
2020,Bishkek (city),,KG11,100.0
2021,Bishkek (city),,KG11,100.0
2013,Osh (city),,KG21,99.7
2014,Osh (city),,KG21,96.5
2015,Osh (city),,KG21,96.7
2016,Osh (city),,KG21,100.0
2017,Osh (city),,KG21,95.7
2018,Osh (city),,KG21,96.5
2019,Osh (city),,KG21,97.757015
2020,Osh (city),,KG21,100.0
2021,Osh (city),,KG21,100.0
