Year,Value,GeoCode
2010,13.4,
2013,8.5,
2014,7.7,
2015,6.7,
2016,7.6,
2017,4.3,
2018,4.5,
2019,2.5,
2020,2.385958,
2021,2.017315,
2022,1.878078,
