Year,Value,UNIT_MEASURE,SERIES
2007,114961.0,NUMBER,_L_KG_010301_1F2
2008,120274.0,NUMBER,_L_KG_010301_1F2
2009,124751.0,NUMBER,_L_KG_010301_1F2
2010,133398.0,NUMBER,_L_KG_010301_1F2
2011,142897.0,NUMBER,_L_KG_010301_1F2
2012,150206.0,NUMBER,_L_KG_010301_1F2
2013,162967.0,NUMBER,_L_KG_010301_1F2
2014,168679.0,NUMBER,_L_KG_010301_1F2
2015,174693.0,NUMBER,_L_KG_010301_1F2
2016,178944.0,NUMBER,_L_KG_010301_1F2
2017,183330.0,NUMBER,_L_KG_010301_1F2
2018,187313.0,NUMBER,_L_KG_010301_1F2
2019,194364.0,NUMBER,_L_KG_010301_1F2
2020,197792.0,NUMBER,_L_KG_010301_1F2
2021,202551.0,NUMBER,_L_KG_010301_1F2
2022,211650.0,NUMBER,_L_KG_010301_1F2
2007,2.190749,PT,_L_KG_010301_1F1
2008,2.273953,PT,_L_KG_010301_1F1
2009,2.326232,PT,_L_KG_010301_1F1
2010,2.46199,PT,_L_KG_010301_1F1
2011,2.608742,PT,_L_KG_010301_1F1
2012,2.705494,PT,_L_KG_010301_1F1
2013,2.821172,PT,_L_KG_010301_1F1
2014,2.861361,PT,_L_KG_010301_1F1
2015,2.902128,PT,_L_KG_010301_1F1
2016,2.914302,PT,_L_KG_010301_1F1
2017,2.930125,PT,_L_KG_010301_1F1
2018,2.931575,PT,_L_KG_010301_1F1
2019,2.931575,PT,_L_KG_010301_1F1
2020,2.97943,PT,_L_KG_010301_1F1
2021,2.97943,PT,_L_KG_010301_1F1
2022,2.97943,PT,_L_KG_010301_1F1
