Year,Value
2008,14.3
2009,14.5
2010,13.7
2011,12.9
2012,11.9
2013,10.8
2014,10.8
2015,10.6
2016,10.9
2017,10.1
2018,10.0
2019,9.5
2020,9.4
2021,9.7
2022,8.7
