Year,Unit multiplier,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,Millions,Freight volume (tonne kilometres),,Metric Tons,2641.0
2018,Millions,Freight volume (tonne kilometres),,Metric Tons,2777.3
2019,Millions,Freight volume (tonne kilometres),,Metric Tons,2913.6
2020,Millions,Freight volume (tonne kilometres),,Metric Tons,2434.5
2021,Millions,Freight volume (tonne kilometres),,Metric Tons,2620.2
2007,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,848.9
2008,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,945.5
2009,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,744.5
2010,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,737.7
2014,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,1010.0
2015,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,917.8
2016,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,807.0
2017,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,937.3
2018,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,950.7
2019,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,870.4
2020,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,937.5
2021,Millions,Freight volume (tonne kilometres),Mode of Transport: Rail,Metric Tons,1003.1
2007,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,902.5
2008,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1113.9
2009,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1256.4
2010,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1281.5
2014,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1264.7
2015,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1401.7
2016,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1501.3
2017,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1527.1
2018,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1624.0
2019,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1841.9
2020,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1281.2
2021,Millions,Freight volume (tonne kilometres),Mode of Transport: Road,Metric Tons,1348.4
2007,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,218.3
2008,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,211.5
2009,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,90.0
2010,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,91.5
2014,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,135.2
2015,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,145.9
2016,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,140.7
2017,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,163.5
2018,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,192.8
2019,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,192.8
2020,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,208.6
2021,Millions,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Metric Tons,248.0
2007,Thousands,Freight volume (tonne kilometres),Mode of Transport: Water,Metric Tons,4.8
2008,Thousands,Freight volume (tonne kilometres),Mode of Transport: Water,Metric Tons,8.0
2009,Thousands,Freight volume (tonne kilometres),Mode of Transport: Water,Metric Tons,4.4
2010,Thousands,Freight volume (tonne kilometres),Mode of Transport: Water,Metric Tons,3.0
2014,Thousands,Freight volume (tonne kilometres),Mode of Transport: Water,Metric Tons,2.8
2015,Thousands,Freight volume (tonne kilometres),Mode of Transport: Water,Metric Tons,2.3
2016,Thousands,Freight volume (tonne kilometres),Mode of Transport: Water,Metric Tons,0.5
2017,Thousands,Freight volume (tonne kilometres),Mode of Transport: Water,Metric Tons,0.0
2007,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,47.1
2008,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,59.4
2009,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,45.4
2010,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,64.4
2014,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,83.4
2015,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,57.4
2016,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,16.9
2017,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,13.1
2018,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,9.8
2019,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,8.5
2020,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,7.2
2021,Thousands,Freight volume (tonne kilometres),Mode of Transport: Air,Metric Tons,20.7
